motif	factor
GM.5.0.Sox.0003	SOX2
GM.5.0.Sox.0003	SOX4
GM.5.0.Forkhead.0001	FOXI1
GM.5.0.Forkhead.0001	CEBPZ
GM.5.0.Forkhead.0001	NFY
GM.5.0.MADS_box.0001	SRF
GM.5.0.bHLH.0008	NMYC
GM.5.0.bHLH.0008	MAX
GM.5.0.bHLH.0008	MYC
GM.5.0.bHLH.0008	CLOCK
GM.5.0.bHLH.0008	MYCN
GM.5.0.bHLH.0008	MXI1
GM.5.0.Homeodomain.0006	NOBOX
GM.5.0.Homeodomain.0006	ZFHX2
GM.5.0.Homeodomain.0006	SHOX
GM.5.0.Homeodomain.0006	LHX1
GM.5.0.Homeodomain.0006	RAX
GM.5.0.Homeodomain.0006	LHX3
GM.5.0.Homeodomain.0006	SHOX2
GM.5.0.Homeodomain.0006	UNCX
GM.5.0.Homeodomain.0006	LHX5
GM.5.0.Homeodomain.0006	ARX
GM.5.0.Homeodomain.0006	ALX1
GM.5.0.Homeodomain.0006	ALX4
GM.5.0.Homeodomain.0006	EN1
GM.5.0.Homeodomain.0006	ALX3
GM.5.0.Homeodomain.0006	DLX1
GM.5.0.Homeodomain.0006	DLX2
GM.5.0.Homeodomain.0006	DLX3
GM.5.0.Homeodomain.0006	DLX4
GM.5.0.Homeodomain.0006	DLX6
GM.5.0.Homeodomain.0006	EN2
GM.5.0.Homeodomain.0006	ESX1
GM.5.0.Homeodomain.0006	GBX1
GM.5.0.Homeodomain.0006	GBX2
GM.5.0.Homeodomain.0006	HESX1
GM.5.0.Homeodomain.0006	HOXA1
GM.5.0.Homeodomain.0006	ISX
GM.5.0.Homeodomain.0006	LHX9
GM.5.0.Homeodomain.0006	LMX1A
GM.5.0.Homeodomain.0006	LMX1B
GM.5.0.Homeodomain.0006	MSX1
GM.5.0.Homeodomain.0006	MSX2
GM.5.0.Homeodomain.0006	PRRX1
GM.5.0.Homeodomain.0006	PRRX2
GM.5.0.Homeodomain.0006	RAX2
GM.5.0.Homeodomain.0006	LHX4
GM.5.0.Homeodomain.0006	MSX3
GM.5.0.Homeodomain.0006	VSX1
GM.5.0.Homeodomain.0007	PBX3
GM.5.0.Homeodomain.0007	FOS
GM.5.0.SMAD.0001	SMAD2
GM.5.0.SMAD.0001	SMAD4
GM.5.0.SMAD.0001	SMAD
GM.5.0.Ets.0003	ELK1
GM.5.0.Ets.0003	ELK3
GM.5.0.Ets.0003	ELK4
GM.5.0.Ets.0003	ERF
GM.5.0.Ets.0003	ERG
GM.5.0.Ets.0003	ETS1
GM.5.0.Ets.0003	ETV1
GM.5.0.Ets.0003	ETV2
GM.5.0.Ets.0003	ETV3
GM.5.0.Ets.0003	ETV4
GM.5.0.Ets.0003	FLI1
GM.5.0.Ets.0003	GABPA
GM.5.0.Nuclear_receptor.0005	FXR
GM.5.0.Nuclear_receptor.0005	NR1H4
GM.5.0.Nuclear_receptor.0005	NR1A4
GM.5.0.Nuclear_receptor.0005	RXRA
GM.5.0.Nuclear_receptor.0005	NR4A2
GM.5.0.C2H2_ZF.0005	SNAI2
GM.5.0.Nuclear_receptor.0006	RORB
GM.5.0.Nuclear_receptor.0006	RORC
GM.5.0.E2F.0001	E2F1
GM.5.0.E2F.0001	E2F2
GM.5.0.E2F.0001	E2F3
GM.5.0.E2F.0001	E2F4
GM.5.0.Nuclear_receptor.0007	NR2E1
GM.5.0.Runt.0001	RUNX2
GM.5.0.Runt.0001	RUNX3
GM.5.0.Runt.0001	RUNX1
GM.5.0.Runt.0001	RUNX
GM.5.0.C2H2_ZF.0006	KLF5
GM.5.0.C2H2_ZF.0006	KLF12
GM.5.0.C2H2_ZF.0006	SP1
GM.5.0.C2H2_ZF.0006	SP2
GM.5.0.C2H2_ZF.0006	KLF4
GM.5.0.C2H2_ZF.0006	SP3
GM.5.0.SAND.0001	GMEB2
GM.5.0.SAND.0001	GMEB1
GM.5.0.T-box.0002	EOMES
GM.5.0.T-box.0002	T
GM.5.0.Homeodomain.0008	SIX3
GM.5.0.GCM.0001	GCM1
GM.5.0.GCM.0001	GCM2
GM.5.0.Homeodomain_POU.0002	POU1F1
GM.5.0.Homeodomain_POU.0002	POU3F1
GM.5.0.Homeodomain_POU.0002	POU3F2
GM.5.0.Homeodomain_POU.0002	POU3F3
GM.5.0.Homeodomain_POU.0002	POU3F4
GM.5.0.Homeodomain_POU.0002	POU4F1
GM.5.0.Homeodomain_POU.0002	POU4F2
GM.5.0.Homeodomain_POU.0002	POU4F3
GM.5.0.bZIP.0005	BACH1
GM.5.0.bZIP.0005	BACH2
GM.5.0.bZIP.0005	NFE2
GM.5.0.bZIP.0005	NRF2
GM.5.0.bZIP.0005	NFE2L2
GM.5.0.bZIP.0005	MAF
GM.5.0.bZIP.0005	MAFK
GM.5.0.Homeodomain.0009	HOXA13
GM.5.0.Homeodomain.0009	HOXB13
GM.5.0.Homeodomain.0009	HOXC13
GM.5.0.Homeodomain.0009	HOXD13
GM.5.0.Sox.0004	SOX13
GM.5.0.Mixed.0003	HLF
GM.5.0.Mixed.0003	NFIL3
GM.5.0.C2H2_ZF.0007	GLIS3
GM.5.0.C2H2_ZF.0007	PLAGL1
GM.5.0.Homeodomain.0010	RHOX11
GM.5.0.SAND.0002	IRC900814
GM.5.0.Nuclear_receptor.0008	TR4
GM.5.0.Nuclear_receptor.0008	NR2C2
GM.5.0.Nuclear_receptor.0008	RXRA
GM.5.0.Nuclear_receptor.0008	RXRG
GM.5.0.Homeodomain.0011	HOXB5
GM.5.0.Homeodomain.0011	HOXD3
GM.5.0.GATA.0003	GATA3
GM.5.0.GATA.0003	GATA1
GM.5.0.GATA.0003	GATA4
GM.5.0.GATA.0003	GATA2
GM.5.0.GATA.0003	GATA6
GM.5.0.Rel.0002	NFATC2
GM.5.0.Rel.0002	NFATC3
GM.5.0.Rel.0002	NFATC4
GM.5.0.Rel.0002	NFAT
GM.5.0.bHLH.0009	USF1
GM.5.0.bHLH.0009	USF2
GM.5.0.bHLH.0009	BACH1
GM.5.0.bHLH.0009	TFEB
GM.5.0.bHLH.0009	TFE3
GM.5.0.Forkhead.0002	FOXK1
GM.5.0.Forkhead.0002	FOXJ2
GM.5.0.Forkhead.0002	FOXG1
GM.5.0.Forkhead.0002	FOXP1
GM.5.0.Forkhead.0002	FOXJ3
GM.5.0.Forkhead.0002	FOXO4
GM.5.0.Forkhead.0002	FOXO1
GM.5.0.Forkhead.0002	FOXO6
GM.5.0.Forkhead.0002	FOXL1
GM.5.0.Forkhead.0002	FOXD2
GM.5.0.Forkhead.0002	FOXD3
GM.5.0.E2F.0002	E2F1
GM.5.0.E2F.0002	E2F3
GM.5.0.E2F.0002	E2F4
GM.5.0.E2F.0002	E2F7
GM.5.0.E2F.0002	TFDP1
GM.5.0.bZIP.0006	XBP1
GM.5.0.Homeodomain.0012	NKX3-1
GM.5.0.Homeodomain.0012	NKX2-6
GM.5.0.Homeodomain.0012	NKX2-5
GM.5.0.Homeodomain.0012	NKX3-2
GM.5.0.Homeodomain.0012	BAPX1
GM.5.0.Forkhead.0003	FOXF1
GM.5.0.Forkhead.0003	FOXI1
GM.5.0.Forkhead.0003	FOXL1
GM.5.0.Homeodomain.0013	NKX6.1
GM.5.0.Homeodomain.0013	PRRX2
GM.5.0.Homeodomain.0013	ALX3
GM.5.0.Homeodomain.0013	BARX1
GM.5.0.Homeodomain.0013	BSX
GM.5.0.Homeodomain.0013	HOXA2
GM.5.0.Homeodomain.0013	HOXB2
GM.5.0.Homeodomain.0013	HOXB3
GM.5.0.Homeodomain.0013	MIXL1
GM.5.0.Homeodomain.0013	PDX1
GM.5.0.Homeodomain.0013	VENTX
GM.5.0.Homeodomain.0013	ALX1
GM.5.0.C2H2_ZF.0009	KLF4
GM.5.0.C2H2_ZF.0009	KLF12
GM.5.0.C2H2_ZF.0009	KLF3
GM.5.0.Mixed.0005	OTX2
GM.5.0.bHLH.0010	NEUROG2
GM.5.0.bHLH.0010	MSGN1
GM.5.0.SMAD.0002	NFIA
GM.5.0.SMAD.0002	NFIC
GM.5.0.Runt.0002	RUNX2
GM.5.0.Runt.0002	RUNX3
GM.5.0.Forkhead.0004	FOXO1
GM.5.0.Forkhead.0004	FOXO3
GM.5.0.Forkhead.0004	FOXO4
GM.5.0.Forkhead.0004	FOXO6
GM.5.0.Nuclear_receptor.0009	NR1D1
GM.5.0.Nuclear_receptor.0009	NR1D2
GM.5.0.Nuclear_receptor.0009	RORC
GM.5.0.bHLH.0011	MLX
GM.5.0.C2H2_ZF.0010	SCRT1
GM.5.0.C2H2_ZF.0010	SCRT2
GM.5.0.bZIP.0007	ATF1
GM.5.0.bZIP.0007	CREB1
GM.5.0.bZIP.0007	CREB
GM.5.0.bZIP.0008	BACH1
GM.5.0.bZIP.0008	NFE2
GM.5.0.C2H2_ZF.0011	ZNF274
GM.5.0.C2H2_ZF.0012	ZBTB33
GM.5.0.Nuclear_receptor.0010	CACBP
GM.5.0.CUT_Homeodomain.0001	LHX6
GM.5.0.CUT_Homeodomain.0001	DUX
GM.5.0.Sox.0005	BBX
GM.5.0.Homeodomain.0014	PAX4
GM.5.0.Homeodomain.0014	HOXD8
GM.5.0.C2H2_ZF.0013	KLF1
GM.5.0.C2H2_ZF.0013	KLF3
GM.5.0.C2H2_ZF.0013	KLF4
GM.5.0.C2H2_ZF.0013	KLF5
GM.5.0.C2H2_ZF.0013	SALL4
GM.5.0.MADS_box.0002	MEF2A
GM.5.0.MADS_box.0002	MEF2B
GM.5.0.MADS_box.0002	MEF2D
GM.5.0.MADS_box.0002	MEF2C
GM.5.0.MADS_box.0002	MYEF2
GM.5.0.bHLH.0012	EBF1
GM.5.0.bHLH.0012	EBF
GM.5.0.bHLH.0013	NHLH1
GM.5.0.Homeodomain_Paired_box.0001	PAX6
GM.5.0.bHLH.0014	MYOG
GM.5.0.bHLH.0014	ASCL1
GM.5.0.bHLH.0014	ASCL2
GM.5.0.bHLH.0014	MYF5
GM.5.0.bHLH.0014	MYOD1
GM.5.0.bHLH.0014	TCF12
GM.5.0.C2H2_ZF.0014	ZFP105
GM.5.0.Homeodomain.0015	MSX1
GM.5.0.C2H2_ZF.0015	YY1
GM.5.0.C2H2_ZF.0015	ZFP42
GM.5.0.Nuclear_receptor.0011	AR
GM.5.0.Nuclear_receptor.0011	NR3C1
GM.5.0.Nuclear_receptor.0011	PGR
GM.5.0.Homeodomain.0017	HOXA2
GM.5.0.Homeodomain.0017	PDX1
GM.5.0.Homeodomain.0017	HOXB4
GM.5.0.GATA.0004	GATA1
GM.5.0.GATA.0004	GATA6
GM.5.0.GATA.0004	LMO2
GM.5.0.GATA.0004	GATA4
GM.5.0.GATA.0004	GATA3
GM.5.0.GATA.0004	GATA5
GM.5.0.Sox.0006	SOX14
GM.5.0.Sox.0006	SOX15
GM.5.0.Sox.0006	SOX18
GM.5.0.Sox.0006	SOX2
GM.5.0.Sox.0006	SOX21
GM.5.0.Sox.0006	SOX7
GM.5.0.Sox.0006	SRY
GM.5.0.Sox.0006	ENSMUSG00000079994
GM.5.0.Sox.0006	SOX17
GM.5.0.Sox.0006	SOX3
GM.5.0.Sox.0006	SOX1
GM.5.0.bHLH.0016	SREBF2
GM.5.0.bHLH.0016	SREBF1
GM.5.0.Homeodomain_POU.0004	OCT4
GM.5.0.Homeodomain_POU.0004	TBP
GM.5.0.Homeodomain_POU.0004	POU2F1
GM.5.0.Homeodomain_POU.0004	POU2F2
GM.5.0.Homeodomain_POU.0004	POU2F3
GM.5.0.Homeodomain_POU.0004	POU3F4
GM.5.0.Homeodomain_POU.0004	POU5F1B
GM.5.0.Homeodomain_POU.0004	POU5F1
GM.5.0.Ets.0006	ETS1
GM.5.0.Ets.0006	ZNF143
GM.5.0.Ets.0006	SMARCC2
GM.5.0.C2H2_ZF.0017	ZNF711
GM.5.0.C2H2_ZF.0017	ZFX
GM.5.0.C2H2_ZF.0017	ZFP711
GM.5.0.Rel.0003	RELA
GM.5.0.Rel.0003	REL
GM.5.0.Homeodomain.0018	ISL1
GM.5.0.Homeodomain.0018	LHX3
GM.5.0.Homeodomain.0018	HOXB5
GM.5.0.Homeodomain.0019	HOXA1
GM.5.0.Homeodomain.0019	LMX1B
GM.5.0.Homeodomain.0020	EMX1
GM.5.0.Homeodomain.0020	HOXA4
GM.5.0.Homeodomain.0020	VAX1
GM.5.0.Homeodomain.0020	PDX1
GM.5.0.Homeodomain.0020	VAX2
GM.5.0.Homeodomain.0020	HOXA5
GM.5.0.Homeodomain.0020	HOXB4
GM.5.0.Homeodomain.0020	HOXB5
GM.5.0.Homeodomain.0020	HOXB3
GM.5.0.Homeodomain.0020	HOXC4
GM.5.0.Homeodomain.0020	HOXD3
GM.5.0.Homeodomain.0020	HOXA3
GM.5.0.Homeodomain.0020	GSX1
GM.5.0.Ets.0007	ELK1
GM.5.0.Ets.0007	ETV4
GM.5.0.Nuclear_receptor.0012	ESR1
GM.5.0.Nuclear_receptor.0012	RXRB
GM.5.0.Nuclear_receptor.0012	THRA
GM.5.0.Homeodomain.0021	HNF1B
GM.5.0.Homeodomain.0021	HNF1A
GM.5.0.AP-2.0001	AP2ALPHA
GM.5.0.AP-2.0001	TCFAP2A
GM.5.0.AP-2.0001	TCFAP2B
GM.5.0.AP-2.0001	TCFAP2C
GM.5.0.AP-2.0001	TCFAP2E
GM.5.0.AP-2.0001	TFAP2A
GM.5.0.AP-2.0001	TFAP2C
GM.5.0.DP_E2F.0001	E2F7
GM.5.0.DP_E2F.0001	TFDP1
GM.5.0.bZIP.0009	NFIL3
GM.5.0.bZIP.0009	TEF
GM.5.0.bZIP.0009	HLF
GM.5.0.Myb_SANT.0002	MYPOP
GM.5.0.Myb_SANT.0002	PRDM11
GM.5.0.bZIP.0010	BATF
GM.5.0.bZIP.0010	JUN
GM.5.0.Homeodomain.0022	SEBOX
GM.5.0.Homeodomain.0022	VSX1
GM.5.0.Homeodomain.0022	VSX2
GM.5.0.Homeodomain.0022	UNCX
GM.5.0.Homeodomain.0022	MIX-A
GM.5.0.bHLH.0017	HIF1A
GM.5.0.E2F.0003	E2F1
GM.5.0.E2F.0003	E2F4
GM.5.0.E2F.0003	E2F2
GM.5.0.C2H2_ZF.0018	ZNF143
GM.5.0.THAP_finger.0001	THAP1
GM.5.0.Homeodomain_POU.0005	OCT2
GM.5.0.Homeodomain_POU.0005	POU2F2
GM.5.0.Homeodomain_POU.0005	POU2F1
GM.5.0.bZIP.0011	CEBPE
GM.5.0.bZIP.0011	CEBPA
GM.5.0.bZIP.0011	CEBPB
GM.5.0.C2H2_ZF.0019	SP4
GM.5.0.C2H2_ZF.0019	KLF7
GM.5.0.C2H2_ZF.0019	KLF8
GM.5.0.C2H2_ZF.0019	KLF12
GM.5.0.Nuclear_receptor.0013	PPARG
GM.5.0.Nuclear_receptor.0013	HNF4A
GM.5.0.Nuclear_receptor.0013	NR2F1
GM.5.0.Nuclear_receptor.0013	NR2F6
GM.5.0.Nuclear_receptor.0013	RXRA
GM.5.0.Nuclear_receptor.0013	RXRB
GM.5.0.Nuclear_receptor.0013	RXRG
GM.5.0.Nuclear_receptor.0013	NR1H2
GM.5.0.Ets.0008	SPIB
GM.5.0.Ets.0008	SPI1
GM.5.0.E2F.0004	E2F1
GM.5.0.E2F.0004	E2F4
GM.5.0.CSL.0001	RBPJ
GM.5.0.Myb_SANT.0003	MYBL2
GM.5.0.Myb_SANT.0003	MYB
GM.5.0.Myb_SANT.0003	MYBL1
GM.5.0.C2H2_ZF.0020	EGR1
GM.5.0.C2H2_ZF.0020	EGR2
GM.5.0.C2H2_ZF.0020	EGR3
GM.5.0.C2H2_ZF.0020	EGR4
GM.5.0.bHLH.0018	SCL
GM.5.0.bHLH.0018	ASCL1
GM.5.0.T-box.0003	TBX4
GM.5.0.T-box.0003	TBX5
GM.5.0.bZIP.0012	ATF3
GM.5.0.Myb_SANT.0004	MYB
GM.5.0.Myb_SANT.0004	MYBL1
GM.5.0.Myb_SANT.0004	BMYB
GM.5.0.Myb_SANT.0004	AMYB
GM.5.0.Mixed.0011	ETS2
GM.5.0.Mixed.0011	STAT6
GM.5.0.bHLH.0019	HAND1
GM.5.0.bHLH.0020	NHLH1
GM.5.0.bHLH.0020	MYOG
GM.5.0.Forkhead.0005	FOXC2
GM.5.0.Forkhead.0005	FOXC1
GM.5.0.Forkhead.0005	FOXB1
GM.5.0.Forkhead.0005	FOXA1
GM.5.0.Homeodomain.0024	HNF1B
GM.5.0.bZIP.0013	FRA2
GM.5.0.bZIP.0013	FOS
GM.5.0.bZIP.0013	FOSL1
GM.5.0.bZIP.0013	JUN
GM.5.0.bZIP.0013	JUNB
GM.5.0.bZIP.0013	JUND
GM.5.0.bZIP.0013	SMARCC1
GM.5.0.bZIP.0013	FOSL2
GM.5.0.bZIP.0013	ATF3
GM.5.0.bZIP.0013	JDP2
GM.5.0.bZIP.0013	NFE2
GM.5.0.bZIP.0013	FOSB
GM.5.0.E2F.0005	E2F1
GM.5.0.E2F.0005	E2F2
GM.5.0.E2F.0005	E2F3
GM.5.0.C2H2_ZF.0021	ZNF263
GM.5.0.bHLH.0021	ASCL2
GM.5.0.bHLH.0021	TCF3
GM.5.0.bHLH.0021	FIGLA
GM.5.0.bHLH.0021	TCF12
GM.5.0.bHLH.0021	TCF4
GM.5.0.bHLH.0021	NHLH1
GM.5.0.C2H2_ZF.0022	ZFP740
GM.5.0.C2H2_ZF.0022	ZNF740
GM.5.0.Homeodomain.0025	POU6F1
GM.5.0.Homeodomain.0025	NOTO
GM.5.0.Homeodomain.0025	EMX1
GM.5.0.Homeodomain.0025	EMX2
GM.5.0.Homeodomain.0025	VAX1
GM.5.0.Homeodomain.0025	VAX2
GM.5.0.Homeodomain.0025	HOXD3
GM.5.0.C2H2_ZF.0023	CTCFL
GM.5.0.SMAD.0003	NFIC
GM.5.0.SMAD.0003	NFIB
GM.5.0.bHLH.0022	TCF12
GM.5.0.bHLH.0022	PTF1A
GM.5.0.bHLH.0022	MYOD
GM.5.0.bHLH.0022	E2A
GM.5.0.bHLH.0022	TCF4
GM.5.0.bHLH.0022	TCF3
GM.5.0.bHLH.0022	ASCL2
GM.5.0.bHLH.0022	ASCL1
GM.5.0.bHLH.0022	HEB
GM.5.0.Forkhead.0006	FOXO3
GM.5.0.Forkhead.0006	FOXO4
GM.5.0.Forkhead.0006	FOXP1
GM.5.0.Forkhead.0006	FOXP2
GM.5.0.Sox.0007	SOX9
GM.5.0.Sox.0007	SOX10
GM.5.0.Runt.0003	RUNX1
GM.5.0.Runt.0003	RUNX2
GM.5.0.Runt.0003	RUNX3
GM.5.0.Homeodomain.0027	PBX1
GM.5.0.SMAD.0004	NFIX
GM.5.0.C2H2_ZF.0024	CTCF
GM.5.0.Paired_box.0002	PAX5
GM.5.0.E2F.0006	E2F1
GM.5.0.E2F.0006	E2F3
GM.5.0.E2F.0006	E2F6
GM.5.0.E2F.0006	E2F4
GM.5.0.E2F.0006	TFDP1
GM.5.0.E2F.0006	E2F7
GM.5.0.Sox.0008	SOX6
GM.5.0.Sox.0008	SOX17
GM.5.0.bHLH.0023	CLOCK
GM.5.0.bHLH.0023	ARNTL
GM.5.0.bHLH.0023	MYCN
GM.5.0.bHLH.0023	MXI1
GM.5.0.Homeodomain.0030	HOXA9
GM.5.0.Homeodomain.0030	HOXA13
GM.5.0.Homeodomain.0030	HOXB13
GM.5.0.Homeodomain.0030	HOXC10
GM.5.0.Homeodomain.0030	HOXC11
GM.5.0.Homeodomain.0030	HOXC12
GM.5.0.Homeodomain.0030	HOXC13
GM.5.0.Homeodomain.0030	HOXD11
GM.5.0.Homeodomain.0030	HOXD12
GM.5.0.Homeodomain.0030	HOXD13
GM.5.0.Homeodomain.0030	HOXA11
GM.5.0.Homeodomain.0030	HOXD9
GM.5.0.C2H2_ZF.0025	REST
GM.5.0.STAT.0001	STAT5
GM.5.0.STAT.0001	STAT3
GM.5.0.STAT.0001	STAT1
GM.5.0.STAT.0001	STAT4
GM.5.0.STAT.0001	STAT
GM.5.0.CSL.0002	RBPJ
GM.5.0.Homeodomain.0031	POU4F2
GM.5.0.Homeodomain.0032	LHX3
GM.5.0.Homeodomain.0032	EN2
GM.5.0.Homeodomain.0032	LHX6
GM.5.0.Homeodomain.0032	LHX8
GM.5.0.Homeodomain.0032	LHX1
GM.5.0.C2H2_ZF.0026	THAP11
GM.5.0.C2H2_ZF.0026	ZNF76
GM.5.0.bZIP.0014	MAFF
GM.5.0.bZIP.0014	MAFG
GM.5.0.bZIP.0014	MAFK
GM.5.0.bZIP.0014	MAFB
GM.5.0.C2H2_ZF.0027	ZSCAN10
GM.5.0.C2H2_ZF.0027	MZF1
GM.5.0.bZIP.0015	CEBPB
GM.5.0.C2H2_ZF.0028	HIC1
GM.5.0.Sox.0009	LEF1
GM.5.0.Forkhead.0007	FOXO3
GM.5.0.Forkhead.0007	FOXF2
GM.5.0.Forkhead.0007	FOXG1
GM.5.0.Forkhead.0007	FOXP1
GM.5.0.Forkhead.0007	FOXK1
GM.5.0.Forkhead.0007	FOXK2
GM.5.0.Forkhead.0007	FOXL2
GM.5.0.Ets.0009	ELF2
GM.5.0.C2H2_ZF.0029	ZFP161
GM.5.0.Nuclear_receptor.0014	ESR1
GM.5.0.Nuclear_receptor.0014	RARG
GM.5.0.Unknown.0003	EP300
GM.5.0.Homeodomain.0033	NKX2-5
GM.5.0.Sox.0010	HMG20B
GM.5.0.Sox.0010	ZNF333
GM.5.0.bHLH.0024	AHR
GM.5.0.bHLH.0024	ARNT
GM.5.0.bZIP.0016	ATF2
GM.5.0.bZIP.0016	CREB1
GM.5.0.bZIP.0016	CREM
GM.5.0.Homeodomain.0034	AC189028.1
GM.5.0.Homeodomain.0034	DMBX1
GM.5.0.bHLH.0025	EBF1
GM.5.0.Forkhead.0008	FOXA1
GM.5.0.Forkhead.0008	FOXA2
GM.5.0.Forkhead.0008	FOXA3
GM.5.0.Forkhead.0008	FOXM1
GM.5.0.Forkhead.0008	FOXB1
GM.5.0.C2H2_ZF.0030	GLIS1
GM.5.0.C2H2_ZF.0030	GLIS2
GM.5.0.C2H2_ZF.0030	GLIS3
GM.5.0.Nuclear_receptor.0015	NR3C1
GM.5.0.bHLH.0026	MAX
GM.5.0.bHLH.0026	ARNT
