rna29947	Xetrov90000001m.g
rna20686	gnrh2
rna20688	gnrh2
rna17906	oxt
rna17907	oxt
rna15062	avp
rna15061	avp
rna18814	ubox5
rna18815	ubox5
rna18813	ubox5
rna45094	fastkd5
rna45095	fastkd5
rna39442	lzts3
rna39443	lzts3
rna39444	lzts3
rna30233	Xetrov90000235m.g
rna39360	LOC779549
rna29207	Xetrov90000238m.g
rna29983	Xetrov90000239m.g
rna62567	gfra4
rna28401	Xetrov90000241m.g
rna56229	atrn
rna44186	c20orf194
rna44187	c20orf194
rna38634	LOC105946274
rna61640	LOC100486532
rna55663	slc4a11
rna55662	slc4a11
rna55664	slc4a11
rna49355	LOC101732343
rna32403	Xetrov90000246m.g
rna64243	LOC100486231
rna64244	LOC100486231
rna29293	LOC100486139
rna50572	ddrgk1
rna31899	Xetrov90000250m.g
rna42237	mir146b
rna42238	mir146b
rna36143	LOC100486283
rna38055	paip2b
rna36700	siglec1
rna58884	LOC101732811
rna12316	tex261
rna12315	tex261
rna40227	ankrd53
rna14448	LOC108645698
rna14449	LOC108645698
rna56681	atp6v1b1
rna42458	vax2
rna36276	nagk
rna58838	exoc6b
rna58839	exoc6b
rna58840	exoc6b
rna58841	exoc6b
rna58842	exoc6b
rna53235	LOC108647863
rna29213	Xetrov90000263m.g
rna17365	cyp26b1
rna17366	cyp26b1
rna49621	dysf
rna30408	dysf-like
rna2457	znf638
rna2458	znf638
rna29126	Xetrov90000268m.g
rna18419	cdc25b
rna18418	cdc25b
rna53431	LOC105946273
rna53430	LOC105946273
rna45297	LOC101732075
rna8677	spef1
rna8676	spef1
rna12977	c20orf27
rna12976	c20orf27
rna49313	hspa12b
rna40979	lyrm2
rna18573	LOC100492381
rna18572	LOC100492381
rna55103	LOC100489054
rna23930	LOC100127651
rna23931	LOC100127651
rna30202	Xetrov90000277m.g
rna38072	LOC101734223
rna28165	Xetrov90000279m.g
rna17188	cpxm1
rna17189	cpxm1
rna17187	cpxm1
rna50515	nat8b
rna50516	nat8b
rna50517	nat8b
rna23533	LOC100489204
rna23532	LOC100489204
rna41884	LOC100489358
rna18762	cml
rna18763	cml
rna54824	nat8
rna44755	LOC101731538
rna44756	LOC101731538
rna44757	LOC101731538
rna44758	LOC101731538
rna12450	LOC100145252
rna12449	LOC100145252
rna12451	LOC100145252
rna60588	LOC101731427
rna33675	Xetrov90000290m.g
rna54569	LOC100489847
rna49548	LOC100490023
rna41250	LOC100487404
rna41251	LOC100487404
rna41252	LOC100487404
rna41253	LOC100487404
rna41255	LOC100487404
rna41254	LOC100487404
rna41256	LOC100487404
rna41257	LOC100487404
rna41258	LOC100487404
rna51159	adam33
rna51160	adam33
rna51161	adam33
rna44848	dctn1
rna44850	dctn1
rna44847	dctn1
rna44851	dctn1
rna44849	dctn1
rna44852	dctn1
rna44853	dctn1
rna44854	dctn1
rna44855	dctn1
rna44856	dctn1
rna44857	dctn1
rna26757	LOC100145764
rna26758	LOC100145764
rna26759	LOC100145764
rna26760	LOC100145764
rna26756	LOC100145764
rna61259	LOC101734035
rna31791	Xetrov90000300m.g
rna60397	smyd5
rna28488	Xetrov90000304m.g
rna52229	LOC100490368
rna43861	LOC100493985
rna30428	LOC101733975
rna28083	Xetrov90000303m.g
rna29113	Xetrov90000307m.g
rna37841	LOC101730221
rna60222	LOC105946267
rna51998	LOC101730339
rna38875	LOC105946268
rna4532	MGC108497
rna4533	MGC108497
rna55429	alms1
rna55428	alms1
rna43055	egr4
rna29203	Xetrov90000311m.g
rna62678	fbxo41
rna2939	cct7
rna2940	cct7
rna45835	pradc1
rna50374	glod5
rna18403	not
rna18404	not
rna44462	rab11fip5
rna15393	sfxn5
rna15394	sfxn5
rna53445	emx1.2
rna33841	Xetrov90000320m.g
rna35928	spr
rna55531	LOC101734896
rna48532	LOC101733807
rna57007	LOC101734828
rna59524	LOC101734761
rna59525	LOC101734761
rna38578	LOC100488259
rna30303	LOC100488259
rna45987	LOC100491053
rna54513	LOC101733694
rna40576	LOC108645667
rna46478	LOC100486691
rna28194	LOC100491220
rna43751	LOC108645668
rna63252	LOC100491388
rna62212	LOC105946364
rna39101	LOC105946363
rna38165	LOC100498296
rna44377	LOC105945181
rna49765	LOC105946362
rna31173	Xetrov90000337m.g
rna22259	ptcd3
rna22260	ptcd3
rna22258	ptcd3
rna42039	immt
rna42040	immt
rna43277	reep1
rna43276	reep1
rna43274	reep1
rna43275	reep1
rna25699	kdm3a
rna25700	kdm3a
rna25702	kdm3a
rna25701	kdm3a
rna30864	chmp3
rna57178	chmp3
rna57179	chmp3
rna57180	chmp3
rna57181	chmp3
rna57182	chmp3
rna57183	chmp3
rna33786	rnf103
rna26506	rmnd5a
rna26507	rmnd5a
rna31555	cd8a
rna51676	LOC100489117
rna55783	cd8b
rna33324	Xetrov90000347m.g
rna64115	LOC105946361
rna64116	LOC105946361
rna12568	mfsd10
rna12569	mfsd10
rna12570	mfsd10
rna12571	mfsd10
rna12567	mfsd10
rna23213	vim.2
rna23212	vim.2
rna31113	Xetrov90000352m.g
rna33816	Xetrov90000353m.g
rna27045	add1
rna27042	add1
rna27034	add1
rna27032	add1
rna27038	add1
rna27031	add1
rna27043	add1
rna27037	add1
rna27041	add1
rna27039	add1
rna27040	add1
rna27033	add1
rna27030	add1
rna27036	add1
rna27035	add1
rna27044	add1
rna27052	add1
rna27051	add1
rna27055	add1
rna27058	add1
rna27046	add1
rna27048	add1
rna27060	add1
rna27049	add1
rna27056	add1
rna27050	add1
rna27047	add1
rna27057	add1
rna27061	add1
rna27054	add1
rna27053	add1
rna27059	add1
rna27062	add1
rna27063	add1
rna27064	add1
rna27067	add1
rna27065	add1
rna27066	add1
rna59804	LOC101732620
rna59805	LOC101732620
rna36531	sh3bp2
rna36532	sh3bp2
rna36533	sh3bp2
rna30753	Xetrov90000372m.g
rna32174	Xetrov90000373m.g
rna12249	tnip2
rna12248	tnip2
rna43031	fam193a
rna43032	fam193a
rna19826	rnf4
rna19825	rnf4
rna19827	rnf4
rna59391	cfap99
rna38250	zfyve28
rna38251	zfyve28
rna12740	mxd4
rna12739	mxd4
rna54450	haus3
rna31224	LOC101732961
rna62721	LOC108645699
rna41294	LOC108645700
rna52963	LOC108647922
rna57496	poln
rna1372	nat8l
rna1371	nat8l
rna15022	c4orf48
rna15023	c4orf48
rna15180	LOC100124771
rna15181	LOC100124771
rna15183	LOC100124771
rna15182	LOC100124771
rna15184	LOC100124771
rna15179	LOC100124771
rna15185	LOC100124771
rna11920	nelfa
rna11919	nelfa
rna815	LOC100492954
rna814	LOC100492954
rna42769	whsc1
rna42770	whsc1
rna42771	whsc1
rna42772	whsc1
rna42773	whsc1
rna42774	whsc1
rna9265	letm1
rna9264	letm1
rna9263	letm1
rna9266	letm1
rna11804	fgfr3
rna11805	fgfr3
rna11806	fgfr3
rna11810	fgfr3
rna11808	fgfr3
rna11809	fgfr3
rna11807	fgfr3
rna11812	fgfr3
rna11811	fgfr3
rna11813	fgfr3
rna11814	fgfr3
rna56928	LOC101733532
rna12004	tacc3
rna12003	tacc3
rna12005	tacc3
rna24340	tmem129
rna24341	tmem129
rna9596	slbp
rna9597	slbp
rna12321	fam53a
rna12323	fam53a
rna12324	fam53a
rna12325	fam53a
rna12322	fam53a
rna28477	Xetrov90000397m.g
rna30801	Xetrov90000398m.g
rna41627	nkx1-1
rna13227	uvssa
rna13228	uvssa
rna13229	uvssa
rna13226	uvssa
rna13230	uvssa
rna61635	maea
rna61636	maea
rna61637	maea
rna29637	Xetrov90000403m.g
rna21707	ctbp1
rna21708	ctbp1
rna21706	ctbp1
rna21709	ctbp1
rna21710	ctbp1
rna37837	spon2
rna45003	gp25l
rna28750	rnf212
rna60396	LOC105946477
rna41308	fgfrl1
rna30161	Xetrov90000409m.g
rna37721	LOC101733112
rna55111	atoh8
rna37868	st3gal5
rna57833	polr1a
rna40913	mrpl35
rna25860	krcc1
rna25859	krcc1
rna25858	krcc1
rna25861	krcc1
rna3761	smyd1
rna3760	smyd1
rna3762	smyd1
rna50067	fabp1
rna2177	thnsl2
rna2176	thnsl2
rna2175	thnsl2
rna61052	foxi4.1
rna61053	foxi4.1
rna39083	foxi4.2
rna52949	LOC100490372
rna34863	moap1
rna52138	eif2ak3
rna52139	eif2ak3
rna30154	Xetrov90000427m.g
rna25932	lrpap1
rna25933	lrpap1
rna34988	dok7
rna34989	dok7
rna48865	hgfac
rna47470	rgs12
rna47471	rgs12
rna47472	rgs12
rna62140	LOC105946263
rna51792	msantd1
rna9715	htt
rna9716	htt
rna9714	htt
rna9713	htt
rna41107	LOC105946264
rna64181	grk4
rna32124	Xetrov90000436m.g
rna10678	LOC394441
rna10679	LOC394441
rna10677	LOC394441
rna47341	LOC100145536
rna47342	LOC100145536
rna47343	LOC100145536
rna47107	nop14
rna37398	LOC108645669
rna59767	LOC101732101
rna59768	LOC101732101
rna59769	LOC101732101
rna31616	Xetrov90000441m.g
rna28443	Xetrov90000444m.g
rna46943	LOC101732154
rna53449	LOC100485079
rna10835	med28
rna10836	med28
rna16320	lap3
rna16322	lap3
rna16321	lap3
rna16319	lap3
rna16318	lap3
rna16323	lap3
rna52055	clrn2
rna23562	qdpr
rna23563	qdpr
rna29211	Xetrov90000452m.g
rna61468	ldb2
rna61471	ldb2
rna61470	ldb2
rna61469	ldb2
rna24054	tapt1
rna24055	tapt1
rna50105	prom1
rna50109	prom1
rna50114	prom1
rna50115	prom1
rna50116	prom1
rna50113	prom1
rna50112	prom1
rna50108	prom1
rna50111	prom1
rna50106	prom1
rna50107	prom1
rna50110	prom1
rna50117	prom1
rna50118	prom1
rna50119	prom1
rna50120	prom1
rna50123	prom1
rna50122	prom1
rna50121	prom1
rna50124	prom1
rna13193	fgfbp2
rna13192	fgfbp2
rna17451	fgfbp1
rna17450	fgfbp1
rna17452	fgfbp1
rna5821	cd38
rna5820	cd38
rna47694	LOC101733556
rna6442	fbxl5
rna6441	fbxl5
rna6440	fbxl5
rna6443	fbxl5
rna64099	cc2d2a
rna40855	c1qtnf7
rna18806	cpeb2
rna18805	cpeb2
rna18807	cpeb2
rna18808	cpeb2
rna18804	cpeb2
rna18803	cpeb2
rna28013	Xetrov90000465m.g
rna3385	bod1l1
rna3386	bod1l1
rna3387	bod1l1
rna3388	bod1l1
rna3384	bod1l1
rna28533	Xetrov90000469m.g
rna59714	LOC101731252
rna32935	Xetrov90000469m.g
rna60345	nkx3-2
rna54100	rab28
rna54101	rab28
rna3237	hs3st1
rna3238	hs3st1
rna18912	clnk
rna18911	clnk
rna11767	znf518b
rna11768	znf518b
rna11769	znf518b
rna11770	znf518b
rna60032	wdr1
rna34984	slc2a9
rna34985	slc2a9
rna34986	slc2a9
rna32259	Xetrov90000480m.g
rna34007	Xetrov90000481m.g
rna31024	Xetrov90000482m.g
rna33528	LOC101734406
rna30718	LOC100494559
rna48349	drd5
rna55582	LOC100494710
rna64350	LOC100494873
rna61797	otop1
rna40210	tmem128
rna40211	tmem128
rna21267	lyar
rna21268	lyar
rna11952	zbtb49
rna11951	zbtb49
rna11950	zbtb49
rna11845	nsg1
rna11843	nsg1
rna11844	nsg1
rna11846	nsg1
rna15443	stx18
rna15444	stx18
rna15442	stx18
rna53911	LOC101734699
rna53912	LOC101734699
rna20362	msx1
rna20363	msx1
rna37222	LOC108648036
rna44837	cytl1
rna52780	stk32b
rna46629	evc2
rna321	evc
rna322	evc
rna323	evc
rna324	evc
rna325	evc
rna2358	crmp1
rna2359	crmp1
rna2356	crmp1
rna2360	crmp1
rna2357	crmp1
rna43097	jakmip1
rna43098	jakmip1
rna43099	jakmip1
rna43102	jakmip1
rna43101	jakmip1
rna43100	jakmip1
rna43103	jakmip1
rna43104	jakmip1
rna7447	wfs1
rna7448	wfs1
rna57258	ppp2r2c
rna57259	ppp2r2c
rna11079	man2b2
rna11080	man2b2
rna11081	man2b2
rna47724	LOC105946474
rna59770	ablim2
rna48046	afap1
rna48047	afap1
rna48048	afap1
rna48049	afap1
rna48050	afap1
rna54519	sorcs2
rna25992	grpel1
rna25993	grpel1
rna57945	tada2b
rna17070	ccdc96
rna17069	ccdc96
rna44775	tbc1d14
rna44776	tbc1d14
rna44777	tbc1d14
rna44778	tbc1d14
rna44779	tbc1d14
rna44780	tbc1d14
rna44781	tbc1d14
rna23021	kiaa0232
rna23022	kiaa0232
rna23023	kiaa0232
rna23024	kiaa0232
rna61001	LOC100489920
rna61000	LOC100489920
rna60999	LOC100489920
rna41179	s100p
rna22600	LOC100489121
rna22601	LOC100489121
rna49635	sh3tc1
rna49636	sh3tc1
rna57506	htra3
rna28308	Xetrov90000521m.g
rna62701	acox3
rna12209	trmt44
rna12210	trmt44
rna12208	trmt44
rna12207	trmt44
rna47002	LOC105946261
rna40411	LOC105946260
rna60176	LOC108645701
rna43412	sepsecs
rna17658	lgi2
rna17657	lgi2
rna59897	ccdc149
rna59898	ccdc149
rna12327	sod3
rna12326	sod3
rna12328	sod3
rna19301	dhx15
rna19300	dhx15
rna19302	dhx15
rna19303	dhx15
rna39168	ppargc1a
rna39169	ppargc1a
rna39170	ppargc1a
rna14021	gba3
rna14022	gba3
rna14023	gba3
rna14020	gba3
rna18906	gpr125
rna18905	gpr125
rna55919	kcnip4
rna11247	pacrgl
rna11246	pacrgl
rna11248	pacrgl
rna11244	pacrgl
rna11245	pacrgl
rna39203	slit2
rna39204	slit2
rna39205	slit2
rna62040	mir218-1
rna62041	mir218-1
rna49006	lcorl
rna49007	lcorl
rna19078	ncapg
rna19079	ncapg
rna19077	ncapg
rna61913	LOC100488800
rna55182	LOC108648037
rna49998	LOC100488482
rna63827	LOC100488322
rna36983	LOC105946259
rna43886	LOC100497820
rna47606	LOC105946358
rna54129	LOC100493020
rna54016	LOC108645670
rna60517	LOC100492857
rna34254	Xetrov90000549m.g
rna49663	LOC108644488
rna50792	LOC101731905
rna57071	LOC101730384
rna30578	Xetrov90000553m.g
rna34266	Xetrov90000554m.g
rna46395	LOC108648038
rna46396	LOC108648038
rna24885	LOC100493503
rna24887	LOC100493503
rna24886	LOC100493503
rna24888	LOC100493503
rna24883	LOC100493503
rna24884	LOC100493503
rna62756	LOC108648039
rna39467	nwd2
rna54269	dthd1
rna27746	Xetrov90000559m.g
rna60726	arap2
rna23357	pcdh7
rna23358	pcdh7
rna23356	pcdh7
rna23359	pcdh7
rna30135	Xetrov90000562m.g
rna34797	Xetrov90000563m.g
rna28506	Xetrov90000565m.g
rna32941	Xetrov90000565m.g
rna48100	tbc1d1
rna48102	tbc1d1
rna48103	tbc1d1
rna48101	tbc1d1
rna48104	tbc1d1
rna13296	pgm2
rna13297	pgm2
rna24880	rell1
rna24879	rell1
rna33374	Xetrov90000569m.g
rna46871	LOC105945533
rna53491	klf3
rna9607	LOC101733197
rna18606	tmem128
rna18604	tmem128
rna18607	tmem128
rna18608	tmem128
rna18609	tmem128
rna18610	tmem128
rna18611	tmem128
rna18605	tmem128
rna54159	LOC108645702
rna47614	tlr1
rna35513	tlr6
rna35514	tlr6
rna58607	LOC100495326
rna5286	fam114a1
rna5287	fam114a1
rna5288	fam114a1
rna5289	fam114a1
rna5285	fam114a1
rna45513	LOC105945522
rna17742	klhl5
rna17743	klhl5
rna17744	klhl5
rna17745	klhl5
rna17741	klhl5
rna33218	Xetrov90000580m.g
rna53652	LOC101730356
rna34757	Xetrov90000581m.g
rna47538	wdr19
rna28648	Xetrov90000582m.g
rna1037	rfc1
rna1036	rfc1
rna34749	Xetrov90000584m.g
rna49000	LOC101731520
rna9485	LOC101730521
rna61926	LOC108648040
rna28522	Xetrov90000586m.g
rna38840	LOC101730260
rna43436	lias
rna50349	LOC105946332
rna56814	LOC101730315
rna62954	LOC101735228
rna62955	LOC101735228
rna29622	Xetrov90000588m.g
rna24741	LOC100490984
rna46678	klb
rna62046	rpl9
rna62047	rpl9
rna62048	rpl9
rna39342	lias
rna47247	ugdh
rna47248	ugdh
rna53942	smim14
rna49986	ube2k
rna49987	ube2k
rna49988	ube2k
rna34227	Xetrov90000596m.g
rna19947	pds5a
rna19948	pds5a
rna19951	pds5a
rna19950	pds5a
rna19949	pds5a
rna19952	pds5a
rna19943	pds5a
rna19944	pds5a
rna19945	pds5a
rna19946	pds5a
rna34358	Xetrov90000601m.g
rna40508	n4bp2
rna40509	n4bp2
rna43897	LOC105945501
rna54239	rhoh
rna28259	Xetrov90000604m.g
rna64012	chrna9
rna33828	Xetrov90000606m.g
rna6137	rbm47
rna6138	rbm47
rna27700	Xetrov90000608m.g
rna34398	nsun7
rna40870	apbb2
rna578	uchl1
rna580	uchl1
rna579	uchl1
rna581	uchl1
rna61344	limch1
rna61345	limch1
rna61350	limch1
rna61346	limch1
rna61347	limch1
rna61351	limch1
rna61349	limch1
rna61348	limch1
rna31095	Xetrov90000615m.g
rna55120	phox2b
rna55121	phox2b
rna25253	LOC105946256
rna25252	LOC105946256
rna7776	tmem33
rna7777	tmem33
rna8833	slc30a9
rna8832	slc30a9
rna7947	bend4
rna7948	bend4
rna7949	bend4
rna51436	LOC100492989
rna60898	shisa3
rna52105	atp8a1
rna52106	atp8a1
rna52108	atp8a1
rna52107	atp8a1
rna46892	LOC108648041
rna12582	grxcr1
rna12581	grxcr1
rna63610	kctd8
rna55387	yipf7
rna26355	gnpda2
rna26356	gnpda2
rna520	guf1
rna521	guf1
rna522	guf1
rna519	guf1
rna30398	Xetrov90000630m.g
rna28883	Xetrov90000631m.g
rna31633	Xetrov90000632m.g
rna30722	Xetrov90000633m.g
rna39358	gabra2
rna28231	Xetrov90000635m.g
rna60304	gabrb1
rna34006	Xetrov90000637m.g
rna33007	Xetrov90000638m.g
rna26879	commd8
rna26880	commd8
rna26881	commd8
rna37861	atp10d
rna37860	atp10d
rna37862	atp10d
rna57963	corin
rna50503	nfxl1
rna50504	nfxl1
rna57012	cnga1
rna48571	nipal1
rna38078	tec
rna59019	slain2
rna59020	slain2
rna59018	slain2
rna59021	slain2
rna59022	slain2
rna59023	slain2
rna59024	slain2
rna59025	slain2
rna50650	slc10a4
rna4594	zar1
rna4595	zar1
rna34966	fryl
rna34968	fryl
rna34967	fryl
rna34969	fryl
rna34970	fryl
rna34971	fryl
rna34973	fryl
rna34972	fryl
rna34974	fryl
rna34975	fryl
rna34976	fryl
rna21305	ociad1
rna21306	ociad1
rna26392	ociad2
rna26390	ociad2
rna26391	ociad2
rna47388	lrrc66
rna39089	sgcb
rna52325	LOC100486035
rna44985	LOC100487199
rna28387	Xetrov90000659m.g
rna36443	LOC105946255
rna14670	rasl11b
rna14671	rasl11b
rna31503	scfd2
rna55544	scfd2
rna27173	fip1l1
rna27172	fip1l1
rna27176	fip1l1
rna27175	fip1l1
rna27174	fip1l1
rna27177	fip1l1
rna27178	fip1l1
rna51363	lnx1
rna51364	lnx1
rna28336	Xetrov90000665m.g
rna16278	chic2
rna16277	chic2
rna14815	gsx2
rna14816	gsx2
rna1752	pdgfra
rna1753	pdgfra
rna1751	pdgfra
rna32613	Xetrov90000669m.g
rna27937	Xetrov90000670m.g
rna54293	LOC101730516
rna16672	kit
rna16673	kit
rna16671	kit
rna38493	kdr
rna13474	srd5a3
rna13475	srd5a3
rna13476	srd5a3
rna13473	srd5a3
rna13477	srd5a3
rna51142	tmem165
rna38644	clock
rna38645	clock
rna60561	nmu
rna56381	LOC100487667
rna43743	LOC100486416
rna35471	exoc1
rna35472	exoc1
rna35473	exoc1
rna35474	exoc1
rna2544	cep135
rna2543	cep135
rna62969	kiaa1211
rna38323	aasdh
rna38324	aasdh
rna38325	aasdh
rna29618	paics.2
rna29621	paics.2
rna29620	paics.2
rna29619	paics.2
rna42919	paics.2
rna2979	paics.1
rna2980	paics.1
rna2982	paics.1
rna2981	paics.1
rna2983	paics.1
rna2984	paics.1
rna2985	paics.1
rna2978	paics.1
rna2986	paics.1
rna21188	ppat
rna21189	ppat
rna18506	lonrf1
rna18507	lonrf1
