GM.5.0.Sox.0001	SRY,SOX9,SOX13,SOX15
GM.5.0.Homeodomain.0005	CRX,OTX1,GSC,PITX1,OTX2,PITX3,PITX2,DMBX1,OBOX6,GM4830,OBOX1,DPRX,GSC2
GM.5.0.GATA.0002	GATA2,GATA3
GM.5.0.RFX.0001	RFX5
GM.5.0.bHLH.0006	ATOH1,BHLHA15,NEUROD1,TCF21,NEUROD2,NEUROG2,OLIG2,PTF1A
GM.5.0.DM.0002	DMRT2
GM.5.0.bHLH.0007	TCF21,BHLHA15,ATOH1,NEUROG2,TAL1,TCF3
GM.5.0.Rel.0001	NFKB1,NFKB
GM.5.0.Ets.0002	ELF5,EHF,ELF3
GM.5.0.Paired_box.0001	PAX5,PAX8
GM.5.0.Sox.0003	SOX3,SOX6,SOX17,SOX15,SOX2,SOX4
GM.5.0.Forkhead.0001	FOXI1,CEBPZ,NFY
GM.5.0.MADS_box.0001	SRF
GM.5.0.bHLH.0008	NMYC,MAX,MYC,CLOCK,MYCN,MXI1
GM.5.0.Homeodomain.0006	NOBOX,ZFHX2,SHOX,LHX1,RAX,LHX3,SHOX2,UNCX,LHX5,ARX,ALX1,ALX4,EN1,ALX3,DLX1,DLX2,DLX3,DLX4,DLX6,EN2,ESX1,GBX1,GBX2,HESX1,HOXA1,ISX,LHX9,LMX1A,LMX1B,MSX1,MSX2,PRRX1,PRRX2,RAX2,LHX4,MSX3,VSX1
GM.5.0.Homeodomain.0007	PBX3,FOS
GM.5.0.SMAD.0001	SMAD2,SMAD4,SMAD
GM.5.0.Ets.0003	ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETV1,ETV2,ETV3,ETV4,FLI1,GABPA
GM.5.0.Nuclear_receptor.0005	FXR,NR1H4,NR1A4,RXRA,NR4A2
GM.5.0.C2H2_ZF.0005	SNAI2
GM.5.0.Nuclear_receptor.0006	RORB,RORC
GM.5.0.E2F.0001	E2F1,E2F2,E2F3,E2F4
GM.5.0.Nuclear_receptor.0007	NR2E1
GM.5.0.Runt.0001	RUNX2,RUNX3,RUNX1,RUNX
GM.5.0.C2H2_ZF.0006	KLF5,KLF12,SP1,SP2,KLF4,SP3
GM.5.0.SAND.0001	GMEB2,GMEB1
GM.5.0.T-box.0002	EOMES,T
GM.5.0.Homeodomain.0008	SIX3
GM.5.0.GCM.0001	GCM1,GCM2
GM.5.0.Homeodomain_POU.0002	POU1F1,POU3F1,POU3F2,POU3F3,POU3F4,POU4F1,POU4F2,POU4F3
GM.5.0.bZIP.0005	BACH1,BACH2,NFE2,NRF2,NFE2L2,MAF,MAFK
GM.5.0.Homeodomain.0009	HOXA13,HOXB13,HOXC13,HOXD13
GM.5.0.Sox.0004	SOX13
GM.5.0.Mixed.0003	HLF,NFIL3
GM.5.0.C2H2_ZF.0007	GLIS3,PLAGL1
GM.5.0.Homeodomain.0010	RHOX11
GM.5.0.SAND.0002	IRC900814
GM.5.0.Nuclear_receptor.0008	TR4,NR2C2,RXRA,RXRG
GM.5.0.Homeodomain.0011	HOXB5,HOXD3
GM.5.0.GATA.0003	GATA3,GATA1,GATA4,GATA2,GATA6
GM.5.0.Rel.0002	NFATC2,NFATC3,NFATC4,NFAT
GM.5.0.bHLH.0009	USF1,USF2,BACH1,TFEB,TFE3
GM.5.0.Forkhead.0002	FOXK1,FOXJ2,FOXG1,FOXP1,FOXJ3,FOXO4,FOXO1,FOXO6,FOXL1,FOXD2,FOXD3
GM.5.0.E2F.0002	E2F1,E2F3,E2F4,E2F7,TFDP1
GM.5.0.bZIP.0006	XBP1
GM.5.0.Homeodomain.0012	NKX3-1,NKX2-6,NKX2-5,NKX3-2,BAPX1
GM.5.0.Forkhead.0003	FOXF1,FOXI1,FOXL1
GM.5.0.Homeodomain.0013	NKX6.1,PRRX2,ALX3,BARX1,BSX,HOXA2,HOXB2,HOXB3,MIXL1,PDX1,VENTX,ALX1
GM.5.0.C2H2_ZF.0009	KLF4,KLF12,KLF3
GM.5.0.Mixed.0005	OTX2
GM.5.0.bHLH.0010	NEUROG2,MSGN1
GM.5.0.SMAD.0002	NFIA,NFIC
GM.5.0.Runt.0002	RUNX2,RUNX3
GM.5.0.Forkhead.0004	FOXO1,FOXO3,FOXO4,FOXO6
GM.5.0.Nuclear_receptor.0009	NR1D1,NR1D2,RORC
GM.5.0.bHLH.0011	MLX
GM.5.0.C2H2_ZF.0010	SCRT1,SCRT2
GM.5.0.bZIP.0007	ATF1,CREB1,CREB
GM.5.0.bZIP.0008	BACH1,NFE2
GM.5.0.C2H2_ZF.0011	ZNF274
GM.5.0.C2H2_ZF.0012	ZBTB33
GM.5.0.Nuclear_receptor.0010	CACBP
GM.5.0.CUT_Homeodomain.0001	LHX6,DUX
GM.5.0.Sox.0005	BBX
GM.5.0.Homeodomain.0014	PAX4,HOXD8
GM.5.0.C2H2_ZF.0013	KLF1,KLF3,KLF4,KLF5,SALL4
GM.5.0.MADS_box.0002	MEF2A,MEF2B,MEF2D,MEF2C,MYEF2
GM.5.0.bHLH.0012	EBF1,EBF
GM.5.0.bHLH.0013	NHLH1
GM.5.0.Homeodomain_Paired_box.0001	PAX6
GM.5.0.bHLH.0014	MYOG,ASCL1,ASCL2,MYF5,MYOD1,TCF12
GM.5.0.C2H2_ZF.0014	ZFP105
GM.5.0.Homeodomain.0015	MSX1
GM.5.0.C2H2_ZF.0015	YY1,ZFP42
GM.5.0.Nuclear_receptor.0011	AR,NR3C1,PGR
GM.5.0.Homeodomain.0017	HOXA2,PDX1,HOXB4
GM.5.0.GATA.0004	GATA1,GATA6,LMO2,GATA4,GATA3,GATA5
GM.5.0.Sox.0006	SOX14,SOX15,SOX18,SOX2,SOX21,SOX7,SRY,ENSMUSG00000079994,SOX17,SOX3,SOX1
GM.5.0.bHLH.0016	SREBF2,SREBF1
GM.5.0.Homeodomain_POU.0004	OCT4,TBP,POU2F1,POU2F2,POU2F3,POU3F4,POU5F1B,POU5F1
GM.5.0.Ets.0006	ETS1,ZNF143,SMARCC2
GM.5.0.C2H2_ZF.0017	ZNF711,ZFX,ZFP711
GM.5.0.Rel.0003	RELA,REL
GM.5.0.Homeodomain.0018	ISL1,LHX3,HOXB5
GM.5.0.Homeodomain.0019	HOXA1,LMX1B
GM.5.0.Homeodomain.0020	EMX1,HOXA4,VAX1,PDX1,VAX2,HOXA5,HOXB4,HOXB5,HOXB3,HOXC4,HOXD3,HOXA3,GSX1
GM.5.0.Ets.0007	ELK1,ETV4
GM.5.0.Nuclear_receptor.0012	ESR1,RXRB,THRA
GM.5.0.Homeodomain.0021	HNF1B,HNF1A
GM.5.0.AP-2.0001	AP2ALPHA,TCFAP2A,TCFAP2B,TCFAP2C,TCFAP2E,TFAP2A,TFAP2C
GM.5.0.DP_E2F.0001	E2F7,TFDP1
GM.5.0.bZIP.0009	NFIL3,TEF,HLF
GM.5.0.Myb_SANT.0002	MYPOP,PRDM11
GM.5.0.bZIP.0010	BATF,JUN
GM.5.0.Homeodomain.0022	SEBOX,VSX1,VSX2,UNCX,MIX-A
GM.5.0.bHLH.0017	HIF1A
GM.5.0.E2F.0003	E2F1,E2F4,E2F2
GM.5.0.C2H2_ZF.0018	ZNF143
GM.5.0.THAP_finger.0001	THAP1
GM.5.0.Homeodomain_POU.0005	OCT2,POU2F2,POU2F1
GM.5.0.bZIP.0011	CEBPE,CEBPA,CEBPB
GM.5.0.C2H2_ZF.0019	SP4,KLF7,KLF8,KLF12
GM.5.0.Nuclear_receptor.0013	PPARG,HNF4A,NR2F1,NR2F6,RXRA,RXRB,RXRG,NR1H2
GM.5.0.Ets.0008	SPIB,SPI1
GM.5.0.E2F.0004	E2F1,E2F4
GM.5.0.CSL.0001	RBPJ
GM.5.0.Myb_SANT.0003	MYBL2,MYB,MYBL1
GM.5.0.C2H2_ZF.0020	EGR1,EGR2,EGR3,EGR4
GM.5.0.bHLH.0018	SCL,ASCL1
GM.5.0.T-box.0003	TBX4,TBX5
GM.5.0.bZIP.0012	ATF3
GM.5.0.Myb_SANT.0004	MYB,MYBL1,BMYB,AMYB
GM.5.0.Mixed.0011	ETS2,STAT6
GM.5.0.bHLH.0019	HAND1
GM.5.0.bHLH.0020	NHLH1,MYOG
GM.5.0.Forkhead.0005	FOXC2,FOXC1,FOXB1,FOXA1
GM.5.0.Homeodomain.0024	HNF1B
GM.5.0.bZIP.0013	FRA2,FOS,FOSL1,JUN,JUNB,JUND,SMARCC1,FOSL2,ATF3,JDP2,NFE2,FOSB
GM.5.0.E2F.0005	E2F1,E2F2,E2F3
GM.5.0.C2H2_ZF.0021	ZNF263
GM.5.0.bHLH.0021	ASCL2,TCF3,FIGLA,TCF12,TCF4,NHLH1
GM.5.0.C2H2_ZF.0022	ZFP740,ZNF740
GM.5.0.Homeodomain.0025	POU6F1,NOTO,EMX1,EMX2,VAX1,VAX2,HOXD3
GM.5.0.C2H2_ZF.0023	CTCFL
GM.5.0.SMAD.0003	NFIC,NFIB
GM.5.0.bHLH.0022	TCF12,PTF1A,MYOD,E2A,TCF4,TCF3,ASCL2,ASCL1,HEB
GM.5.0.Forkhead.0006	FOXO3,FOXO4,FOXP1,FOXP2
GM.5.0.Sox.0007	SOX9,SOX10
GM.5.0.Runt.0003	RUNX1,RUNX2,RUNX3
GM.5.0.Homeodomain.0027	PBX1
GM.5.0.SMAD.0004	NFIX
GM.5.0.C2H2_ZF.0024	CTCF
GM.5.0.Paired_box.0002	PAX5
GM.5.0.E2F.0006	E2F1,E2F3,E2F6,E2F4,TFDP1,E2F7
GM.5.0.Sox.0008	SOX6,SOX17
GM.5.0.bHLH.0023	CLOCK,ARNTL,MYCN,MXI1
GM.5.0.Homeodomain.0030	HOXA9,HOXA13,HOXB13,HOXC10,HOXC11,HOXC12,HOXC13,HOXD11,HOXD12,HOXD13,HOXA11,HOXD9
GM.5.0.C2H2_ZF.0025	REST
GM.5.0.STAT.0001	STAT5,STAT3,STAT1,STAT4,STAT
GM.5.0.CSL.0002	RBPJ
GM.5.0.Homeodomain.0031	POU4F2
GM.5.0.Homeodomain.0032	LHX3,EN2,LHX6,LHX8,LHX1
GM.5.0.C2H2_ZF.0026	THAP11,ZNF76
GM.5.0.bZIP.0014	MAFF,MAFG,MAFK,MAFB
GM.5.0.C2H2_ZF.0027	ZSCAN10,MZF1
GM.5.0.bZIP.0015	CEBPB
GM.5.0.C2H2_ZF.0028	HIC1
GM.5.0.Sox.0009	LEF1
GM.5.0.Forkhead.0007	FOXO3,FOXF2,FOXG1,FOXP1,FOXK1,FOXK2,FOXL2
GM.5.0.Ets.0009	ELF2
GM.5.0.C2H2_ZF.0029	ZFP161
GM.5.0.Nuclear_receptor.0014	ESR1,RARG
GM.5.0.Unknown.0003	EP300
GM.5.0.Homeodomain.0033	NKX2-5
GM.5.0.Sox.0010	HMG20B,ZNF333
GM.5.0.bHLH.0024	AHR,ARNT
GM.5.0.bZIP.0016	ATF2,CREB1,CREM
GM.5.0.Homeodomain.0034	AC189028.1,DMBX1
GM.5.0.bHLH.0025	EBF1
GM.5.0.Forkhead.0008	FOXA1,FOXA2,FOXA3,FOXM1,FOXB1
GM.5.0.C2H2_ZF.0030	GLIS1,GLIS2,GLIS3
GM.5.0.Nuclear_receptor.0015	NR3C1
GM.5.0.bHLH.0026	MAX,ARNT,CLOCK,BMAL1,CMYC,BHLHE40,HES1,HES7,HES5,MYCN,MYC,NPAS
GM.5.0.bHLH.0027	NPAS2,MXI1
GM.5.0.GATA.0005	GATA6,GATA1,GATA2
GM.5.0.bZIP.0017	AP1,ATF3,BATF,FOSL2,JUN,FOS,FRA1
GM.5.0.Homeodomain_Paired_box.0002	PAX6
GM.5.0.bZIP.0018	CREB1,ATF1,E4F1
GM.5.0.MADS_box.0003	MEF2A,MEF2C,MEF2D,MEF2B
GM.5.0.C2H2_ZF.0032	CACD
GM.5.0.Mixed.0014	YY1
GM.5.0.Forkhead.0009	FOXJ3,FOXK1
GM.5.0.T-box.0004	TBX20
GM.5.0.Nuclear_receptor.0016	HNF4A,NR1I2,RARB,RARG,RXRA
GM.5.0.Nuclear_receptor.0017	VDR,RXRA
GM.5.0.DM.0003	DMRT3,DMRT1,DMRTA2
GM.5.0.Nuclear_receptor.0018	NR4A1
GM.5.0.bHLH.0028	MSC,TCF21
GM.5.0.Nuclear_receptor.0019	NR2F1,NR2F2,RXRA,PPARG
GM.5.0.Sox.0011	HBP1
GM.5.0.STAT.0002	STAT6
GM.5.0.Forkhead.0010	FOXQ1
GM.5.0.C2H2_ZF.0035	ZNF143
GM.5.0.Nuclear_receptor.0020	PPARA,PPARG,RXRA,RXR
GM.5.0.bHLH.0029	HEY2,HEY1,CMYC
GM.5.0.Myb_SANT.0005	MYBL1,MYBL2
GM.5.0.RFX.0002	RFX5,RFX6
GM.5.0.Homeodomain.0035	SNAI1,PKNOX1,MEIS1,MEIS2,PKNOX2,MEIS3,TGIF1,TGIF2
GM.5.0.bHLH.0030	ARNT,ID2,MLXIP,USF2,MAX,ARNTL,BHLHE40,BHLHE41,MLX,MLXIPL,MYC
GM.5.0.Homeodomain.0036	CDX2,HOXB13,HOXC9
GM.5.0.Homeodomain_POU.0006	POU2F1,POU2F2,POU2F3,POU3F3,POU5F1B
GM.5.0.Forkhead.0011	FOXG1
GM.5.0.bZIP.0019	ATF3,BACH1,FOSB,FOSL1,FOSL2,FOS,JUNB,JUND,JUN,SMARCC1
GM.5.0.Forkhead.0012	FOXO3
GM.5.0.C2H2_ZF.0037	CTCF
GM.5.0.Mixed.0017	ZNF436
GM.5.0.bHLH.0031	LMO2
GM.5.0.Homeodomain_POU.0007	POU5F1,SOX2,NANOG
GM.5.0.DM.0004	DMRT1,DMRTC2
GM.5.0.bHLH.0032	MYF6
GM.5.0.Homeodomain.0037	HOMEZ
GM.5.0.GATA.0006	GATA3
GM.5.0.p53.0001	P53,TP53,TP63,TRP53,TP73,P63
GM.5.0.bHLH.0033	BHLHE40,ARNTL
GM.5.0.Sox.0012	SOX14,SOX15,SOX18,SOX21,SOX2,SRY,ENSMUSG00000079994,SOX3
GM.5.0.C2H2_ZF.0038	PRDM14
GM.5.0.Ets.0010	SPIB,SFPI1,SPI1
GM.5.0.C2H2_ZF.0039	ZNF382
GM.5.0.AP-2.0002	TFAP2A,TFAP2B,TFAP2C,TCFAP2A
GM.5.0.Ets.0011	ETS1,ETS2
GM.5.0.C2H2_ZF.0040	REST
GM.5.0.RFX.0003	RFX1,RFX2
GM.5.0.C2H2_ZF.0041	BCL6
GM.5.0.Grainyhead.0001	TCFCP2L1,TFCP2L1
GM.5.0.Unknown.0004	NF1
GM.5.0.Homeodomain.0038	TLX2
GM.5.0.Nuclear_receptor.0021	RARA,RXRA,RXRG
GM.5.0.bZIP.0020	GABP,NFE2L2
GM.5.0.RFX.0004	RFX2,RFX4,RFX7,RFX3
GM.5.0.Homeodomain.0041	HOXD9
GM.5.0.bZIP.0021	BATF3
GM.5.0.bHLH.0034	HES5,HES7
GM.5.0.Nuclear_receptor.0022	ESR1,ESR2,ESRRA
GM.5.0.Rel.0004	NFKB1
GM.5.0.bHLH.0035	ARNTL,NPAS2
GM.5.0.Forkhead.0013	FOXC1,FOXD1,FOXD3
GM.5.0.bHLH.0036	NEUROG1,OLIG2
GM.5.0.Homeodomain.0042	ALX1,PROP1
GM.5.0.C2H2_ZF_Homeodomain.0001	ZEB1
GM.5.0.AP-2.0003	TFAP2A,TFAP2B,TFAP2C,TCFAP2A
GM.5.0.C2H2_ZF.0043	EGR3,EGR2,EGR1
GM.5.0.Homeodomain.0043	ALX4,ALX1
GM.5.0.Forkhead.0014	FOXJ2,FOXC1,FOXC2,FOXL1
GM.5.0.Rel.0005	NFKB1,NFKB
GM.5.0.Homeodomain.0044	RHOXF1
GM.5.0.Mixed.0019	XBP1
GM.5.0.C2H2_ZF.0044	IKZF1
GM.5.0.Homeodomain.0045	LHX3
GM.5.0.C2H2_ZF.0045	MTF1
GM.5.0.Sox.0013	TCF4,TCF3,TCF7L2,LEF1,TCF7,TCF7L1
GM.5.0.C2H2_ZF.0046	KLF9,OVOL2
GM.5.0.T-box.0005	TBX5,TBX20,EOMES,MGA,TBX1,TBX15,TBX2,TBX4
GM.5.0.Nuclear_receptor.0024	AR,NR3C1
GM.5.0.Forkhead.0015	FOXI1
GM.5.0.Homeodomain.0046	IRX2,IRX5,IRX3
GM.5.0.SMAD.0005	SMAD2,SMAD3,SMAD4
GM.5.0.RFX.0005	RFX2,RFX3,RFX4
GM.5.0.Ets.0012	ELF5,ETV5,FLI1
GM.5.0.CBF_NF-Y.0001	NFYA
GM.5.0.Homeodomain.0049	PITX2
GM.5.0.Homeodomain.0050	LHX6,PDX1,LHX8
GM.5.0.Homeodomain.0051	BARHL1,BARHL2
GM.5.0.Homeodomain.0052	PBX3,PBX1,PBX2,PKNOX1
GM.5.0.T-box.0006	T
GM.5.0.Homeodomain.0053	HMX3
GM.5.0.Homeodomain.0054	NKX2.5,NKX2.2,NKX2-8,NKX2.1
GM.5.0.Homeodomain.0055	GSX2,NKX6-2
GM.5.0.IRF.0002	IRF1,IRF,IRF2
GM.5.0.C2H2_ZF.0047	YY1,YY2
GM.5.0.T-box.0007	TBX1,TBX21
GM.5.0.C2H2_ZF.0048	REST
GM.5.0.Homeodomain.0056	MEIS1,MEIS2
GM.5.0.bZIP.0022	ATF3
GM.5.0.SMAD.0006	NFIA,NFIB,NFIX,NFIC,TLX1,NR2E1
GM.5.0.Homeodomain.0057	HOXC11,HOXA11,HOXD11,HOXC12,HOXD10,HOXD9
GM.5.0.Nuclear_receptor.0025	PGR,AR,NR3C1
GM.5.0.Myb_SANT.0006	MYBL1,MYBL2
GM.5.0.Nuclear_receptor.0026	RARG,RXRA,RARA
GM.5.0.Sox.0014	SOX10,SOX18,SOX21,SOX2,SOX7,SOX8,SOX9,SOX17,SOX3
GM.5.0.bHLH.0037	ARNT,MYC,MAX
GM.5.0.C2H2_ZF_Homeodomain.0002	ZEB1
GM.5.0.Nuclear_receptor.0027	NR1H3,RXRA
GM.5.0.Nuclear_receptor.0028	HNF4A,HNF4G,NR1H3
GM.5.0.Homeodomain.0059	NKX2-1,NKX2-8
GM.5.0.C2H2_ZF.0049	ZIC2,ZIC3
GM.5.0.bHLH.0038	SREBF1,SREBF2
GM.5.0.bHLH.0039	USF2,TCFE3,TCFEB,TCFEC,MITF,USF1,TFE3,TFEB,TFEC,USF
GM.5.0.C2H2_ZF.0050	SP1,SP2
GM.5.0.IRF.0003	IRF6,IRF2
GM.5.0.Homeodomain.0060	MNX1
GM.5.0.C2H2_ZF.0051	HIVEP1
GM.5.0.bHLH.0040	MNT,BHLHE40
GM.5.0.Sox.0015	LEF1,TCF7L1,TCF7
GM.5.0.Homeodomain_Paired_box.0003	PAX4
GM.5.0.Sox.0016	SOX18
GM.5.0.Nuclear_receptor.0029	HNF4
GM.5.0.bZIP.0023	MAFB
GM.5.0.AP-2.0004	TFAP2A,TFAP2C
GM.5.0.C2H2_ZF.0053	ZBTB33,BRCA1
GM.5.0.CxC.0001	LIN54
GM.5.0.Homeodomain.0062	PITX1
GM.5.0.Forkhead.0016	FOXO1,FOXO3
GM.5.0.Ets.0013	ETS,ELK1,ETV4,FEV,ETV1,ELK3,GABPA,EHF,ETV5,FLI1,ELK4,ELF5,ETV6,ETS1,ELF2,ERG,GM5454
GM.5.0.Grainyhead.0002	GRHL2,GRHL1
GM.5.0.T-box.0008	T,TBX5
GM.5.0.CSL.0003	RBPJ
GM.5.0.bHLH.0041	MLX,BHLHE41,MAX
GM.5.0.STAT.0003	STAT3
GM.5.0.Forkhead.0017	FOXP1,FOXJ2,FOXP2,FOXO3,FOXC1
GM.5.0.C2H2_ZF.0055	PRDM1
GM.5.0.bHLH.0042	BHLHA15,BHLHE22,BHLHE23,NEUROD2,OLIG1,OLIG2,OLIG3
GM.5.0.Sox.0017	ENSMUSG00000079994
GM.5.0.Nuclear_receptor.0030	NR3C1
GM.5.0.Homeodomain.0063	EN1,GBX2
GM.5.0.C2H2_ZF.0056	HIC1,HIC2
GM.5.0.Homeodomain.0064	BARX2
GM.5.0.Homeodomain_POU.0008	POU1F1
GM.5.0.GATA.0007	EHF
GM.5.0.Homeodomain.0065	HNF1A,HNF1
GM.5.0.Forkhead.0018	FOXA1,FOXA
GM.5.0.Nuclear_receptor.0031	NR5A2,NR5A1
GM.5.0.Homeodomain.0066	NKX2-3,NKX2-2,NKX2-5
GM.5.0.bHLH.0043	TFAP4
GM.5.0.bHLH.0044	MESP1,TCF4
GM.5.0.Nuclear_receptor.0032	NR2F1,NR2C2
GM.5.0.bZIP.0024	ATF2,JUN,JUND,FOS,FOSL1
GM.5.0.C2H2_ZF.0057	KLF9,KLF16,SP3
GM.5.0.Unknown.0007	NRF1
GM.5.0.STAT.0004	STAT5A
GM.5.0.GATA.0008	GATA2,GATA3,GATA4,GATA6,GATA1
GM.5.0.C2H2_ZF.0058	GLI2,ZBTB7A,ZBTB7B,ZBTB7C
GM.5.0.AT_hook.0001	AHCTF1
GM.5.0.bZIP.0025	ATF2,ATF7
GM.5.0.Ets.0014	PU.1
GM.5.0.Unknown.0008	HNF1
GM.5.0.C2H2_ZF.0060	HINFP
GM.5.0.Forkhead.0019	FOXD1,FOXK1,FOXL2,FOXO3,FOXP2,FOXA2,FOXI1,FOXO1,FOXO4,FOXO6,FOXG1,FOXJ3,FOXK2
GM.5.0.GATA.0009	GATA1
GM.5.0.TBP.0001	TBP
GM.5.0.Homeodomain.0067	MEIS1,MEIS2
GM.5.0.Homeodomain.0068	ISL2
GM.5.0.bHLH.0046	MYF6
GM.5.0.Nuclear_receptor.0033	THRA
GM.5.0.TEA.0001	TEAD2,TEAD4,TEAD3,TEAD1
GM.5.0.Nuclear_receptor.0034	HNF4A
GM.5.0.HSF.0002	HSF2,HSF1
GM.5.0.bZIP.0026	MAFF,MAFG,MAFK,NRL,MAFB
GM.5.0.Mixed.0024	DLX5,SP7
GM.5.0.C2H2_ZF.0061	ZFP281
GM.5.0.bHLH.0048	TAL1,TCF3,TWIST1
GM.5.0.IRF.0004	STAT1
GM.5.0.Ets.0015	SPI1,SPIB,SPIC
GM.5.0.Sox.0018	SOX10,SOX9
GM.5.0.Homeodomain_POU.0010	POU3F1,POU3F2
GM.5.0.STAT.0005	STAT5A,STAT5B
GM.5.0.Nuclear_receptor.0035	NR2F2
GM.5.0.C2H2_ZF.0062	IRF4,IRF8,BCL11A
GM.5.0.C2H2_ZF.0063	ZNF75A
GM.5.0.Nuclear_receptor.0036	NR2F1,NR2F6,RARA,RARB,RARG
GM.5.0.Homeodomain.0069	HMX2,HMX1,HMX3
GM.5.0.STAT.0006	STAT2,STAT1
GM.5.0.Nuclear_receptor.0037	PGR,NR3C1
GM.5.0.C2H2_ZF.0064	CTCFL
GM.5.0.Forkhead.0020	GM5294
GM.5.0.Homeodomain.0070	NKX2-5
GM.5.0.CBF_NF-Y.0002	NFYB,NFYA,NFYC,NFY
GM.5.0.Mixed.0027	IRF8
GM.5.0.Homeodomain.0071	MEIS1,MEIS2,MEIS3
GM.5.0.Homeodomain.0072	PAX7,PAX6,PRRX2,PDX1
GM.5.0.bHLH.0049	ETV7
GM.5.0.Sox.0019	SOX2,SOX4,SOX13
GM.5.0.C2H2_ZF.0065	KLF15,MAZ,ZNF467
GM.5.0.Forkhead.0021	FOXO1,FOXO4,FOXJ1
GM.5.0.C2H2_ZF.0066	SP1,WT1
GM.5.0.bZIP.0027	ATF5
GM.5.0.bZIP.0028	BACH1
GM.5.0.Nuclear_receptor.0038	NR1H4
GM.5.0.Homeodomain.0073	LHX2,MEOX2
GM.5.0.C2H2_ZF.0068	GFI1B,GFI1
GM.5.0.Nuclear_receptor.0039	ESRRA,ESRRG
GM.5.0.Grainyhead.0003	TFCP2
GM.5.0.Forkhead.0023	FOXO1,FOXP1
GM.5.0.C2H2_ZF.0069	ZSCAN16
GM.5.0.C2H2_ZF.0070	ZNF586
GM.5.0.p53.0002	TRP53
GM.5.0.Nuclear_receptor.0040	NR2F6,NR2C1,RXRG,RXRB,NR2F1,NR1I3,PPARA,VDR
GM.5.0.T-box.0009	BRACHYURY,TBX19,T
GM.5.0.p53.0003	TP53
GM.5.0.IRF.0005	IRF9
GM.5.0.C2H2_ZF.0071	BCL6
GM.5.0.C2H2_ZF.0072	KLF13,KLF14,SP4
GM.5.0.TEA.0002	TEAD3
GM.5.0.Unknown.0011	ZBED1
GM.5.0.Ets.0016	SPDEF
GM.5.0.HSF.0003	HSFY2
GM.5.0.Mixed.0029	PAX3
GM.5.0.Rel.0006	NFKB1,RELA,NFKB2,NFKB
GM.5.0.THAP_finger.0002	THAP1
GM.5.0.Nuclear_receptor.0041	PPARD
GM.5.0.C2H2_ZF.0074	MAZ
GM.5.0.bZIP.0029	ATF2,ATF1
GM.5.0.Unknown.0012	SPZ1
GM.5.0.Nuclear_receptor.0042	THRB
GM.5.0.Forkhead.0025	FOXJ2,FOXJ3
GM.5.0.C2H2_ZF.0075	ZNF354C
GM.5.0.RFX.0006	RFX2,RFX1,MXI1,RFX3
GM.5.0.CUT_Homeodomain.0002	ONECUT1
GM.5.0.CENPB.0001	CENPB
GM.5.0.Forkhead.0026	FOXG1,FOXK1,FOXJ3
GM.5.0.GCM.0002	GCM,GCM1
GM.5.0.bZIP.0030	FOSB
GM.5.0.T-box.0010	TBX3
GM.5.0.Mixed.0030	HINFP
GM.5.0.Myb_SANT.0007	CDC5L
GM.5.0.Unknown.0013	SOX
GM.5.0.C2H2_ZF.0076	ZNF146,ZNF260
GM.5.0.C2H2_ZF.0077	ZNF713
GM.5.0.C2H2_ZF.0078	IKZF2
GM.5.0.Homeodomain.0074	BARHL2,BARHL1
GM.5.0.Unknown.0014	ZNF322
GM.5.0.Ets.0017	ETV7
