motif	factor
GM.5.0.Homeodomain.0005	GSC2
GM.5.0.Homeodomain.0005	PITX1
GM.5.0.Homeodomain.0005	PITX2
GM.5.0.Homeodomain.0005	GM5889
GM.5.0.GATA.0002	GATA2
GM.5.0.GATA.0002	GATA3
GM.5.0.RFX.0001	RFX4
GM.5.0.RFX.0001	RFX8
GM.5.0.RFX.0001	RFX5
GM.5.0.RFX.0001	RFX3
GM.5.0.RFX.0001	RFX7
GM.5.0.RFX.0001	ARID2
GM.5.0.RFX.0001	RFX6
GM.5.0.bHLH.0006	OLIG2
GM.5.0.bHLH.0006	NEUROG2
GM.5.0.bHLH.0006	NEUROD2
GM.5.0.bHLH.0006	TCF21
GM.5.0.bHLH.0006	BHLHA15
GM.5.0.bHLH.0006	ATOH1
GM.5.0.bHLH.0006	PTF1A
GM.5.0.bHLH.0006	GATA2
GM.5.0.bHLH.0006	NEUROD1
GM.5.0.bHLH.0006	GATA1
GM.5.0.DM.0002	DMRT3
GM.5.0.DM.0002	DMRTA1
GM.5.0.DM.0002	DMRT2
GM.5.0.bHLH.0007	NEUROD1
GM.5.0.bHLH.0007	TCF15
GM.5.0.bHLH.0007	NEUROG2
GM.5.0.bHLH.0007	NEUROD2
GM.5.0.bHLH.0007	NEUROG1
GM.5.0.bHLH.0007	TCF21
GM.5.0.bHLH.0007	ENSG00000187728
GM.5.0.bHLH.0007	NEUROD4
GM.5.0.bHLH.0007	BHLHA15
GM.5.0.bHLH.0007	ATOH1
GM.5.0.bHLH.0007	NEUROG3
GM.5.0.bHLH.0007	ATOH7
GM.5.0.bHLH.0007	TAL1
GM.5.0.bHLH.0007	NEUROD6
GM.5.0.bHLH.0007	TCF23
GM.5.0.bHLH.0007	TCF3
GM.5.0.Rel.0001	NFKB
GM.5.0.Rel.0001	NFKB1
GM.5.0.Rel.0001	BCL3
GM.5.0.Ets.0002	ELF1
GM.5.0.Ets.0002	ELF5
GM.5.0.Ets.0002	ELF3
GM.5.0.Ets.0002	EHF
GM.5.0.Paired_box.0001	PAX8
GM.5.0.Paired_box.0001	PAX9
GM.5.0.Paired_box.0001	PAX1
GM.5.0.Paired_box.0001	PAX5
GM.5.0.Sox.0003	SOX4
GM.5.0.Sox.0003	SOX2
GM.5.0.Sox.0003	SOX6
GM.5.0.Sox.0003	SOX17
GM.5.0.Sox.0003	SOX3
GM.5.0.Sox.0003	SOX15
GM.5.0.Forkhead.0001	FOXD4L6
GM.5.0.Forkhead.0001	FOXD4L3
GM.5.0.Forkhead.0001	FOXF1A
GM.5.0.Forkhead.0001	FOXD4L1
GM.5.0.Forkhead.0001	FOXI3
GM.5.0.Forkhead.0001	FOXA1
GM.5.0.Forkhead.0001	IRF3
GM.5.0.Forkhead.0001	KIAA0415
GM.5.0.Forkhead.0001	FOXD4
GM.5.0.Forkhead.0001	FOXD4L5
GM.5.0.Forkhead.0001	FOXD3
GM.5.0.Forkhead.0001	FOXD2
GM.5.0.Forkhead.0001	FOXK2
GM.5.0.Forkhead.0001	FOXB2
GM.5.0.Forkhead.0001	CEBPZ
GM.5.0.Forkhead.0001	FOXE3
GM.5.0.Forkhead.0001	FOXE1
GM.5.0.Forkhead.0001	FOXF2
GM.5.0.Forkhead.0001	FOXI2
GM.5.0.Forkhead.0001	FOXA3
GM.5.0.Forkhead.0001	FOXL2
GM.5.0.Forkhead.0001	FOXS1
GM.5.0.Forkhead.0001	NFY
GM.5.0.Forkhead.0001	FOXQ1
GM.5.0.Forkhead.0001	FOXI1
GM.5.0.MADS_box.0001	SRF
GM.5.0.bHLH.0008	MXI1
GM.5.0.bHLH.0008	MYCN
GM.5.0.bHLH.0008	NMYC
GM.5.0.bHLH.0008	CLOCK
GM.5.0.bHLH.0008	MAX
GM.5.0.bHLH.0008	MYC
GM.5.0.bHLH.0008	NPAS2
GM.5.0.Homeodomain.0006	LHX1
GM.5.0.Homeodomain.0006	ALX4
GM.5.0.Homeodomain.0006	HESX1
GM.5.0.Homeodomain.0006	ALX3
GM.5.0.Homeodomain.0006	DLX2
GM.5.0.Homeodomain.0006	UNCX
GM.5.0.Homeodomain.0006	MSX1
GM.5.0.Homeodomain.0006	LMX1A
GM.5.0.Homeodomain.0006	ARX
GM.5.0.Homeodomain.0006	VSX2
GM.5.0.Homeodomain.0006	HOXB2
GM.5.0.Homeodomain.0006	DLX4
GM.5.0.Homeodomain.0006	VSX1
GM.5.0.Homeodomain.0006	HOXD1
GM.5.0.Homeodomain.0006	DLX6
GM.5.0.Homeodomain.0006	NOBOX
GM.5.0.Homeodomain.0006	DLX1
GM.5.0.Homeodomain.0006	PRRX1
GM.5.0.Homeodomain.0006	LMX1B
GM.5.0.Homeodomain.0006	PRRX2
GM.5.0.Homeodomain.0006	RAX
GM.5.0.Homeodomain.0006	RAX2
GM.5.0.Homeodomain.0006	ESX1
GM.5.0.Homeodomain.0006	RAXL1
GM.5.0.Homeodomain.0006	LHX4
GM.5.0.Homeodomain.0006	MSX2
GM.5.0.Homeodomain.0006	HOXA1
GM.5.0.Homeodomain.0006	EN2
GM.5.0.Homeodomain.0006	OTP
GM.5.0.Homeodomain.0006	SHOX
GM.5.0.Homeodomain.0006	PRRXL1
GM.5.0.Homeodomain.0006	LHX3
GM.5.0.Homeodomain.0006	ISX
GM.5.0.Homeodomain.0006	LHX9
GM.5.0.Homeodomain.0006	MSX3
GM.5.0.Homeodomain.0006	GBX2
GM.5.0.Homeodomain.0006	SHOX2
GM.5.0.Homeodomain.0006	ALX1
GM.5.0.Homeodomain.0006	EN1
GM.5.0.Homeodomain.0006	LHX5
GM.5.0.Homeodomain.0006	HOXB1
GM.5.0.Homeodomain.0006	GBX1
GM.5.0.Homeodomain.0006	ZFHX2
GM.5.0.Homeodomain.0006	DLX3
GM.5.0.Homeodomain.0007	CR933878.8
GM.5.0.Homeodomain.0007	PBX4
GM.5.0.Homeodomain.0007	AL662830.5
GM.5.0.Homeodomain.0007	PBX2
GM.5.0.Homeodomain.0007	FOS
GM.5.0.Homeodomain.0007	PBX3
GM.5.0.Homeodomain.0007	AL845464.3
GM.5.0.Homeodomain.0007	BX284686.1
GM.5.0.Homeodomain.0007	FOSB
GM.5.0.Homeodomain.0007	CR812478.2
GM.5.0.Homeodomain.0007	BX927239.6
GM.5.0.SMAD.0001	SMAD4
GM.5.0.SMAD.0001	SMAD
GM.5.0.SMAD.0001	SMAD3
GM.5.0.SMAD.0001	SMAD2
GM.5.0.Ets.0003	ELK1
GM.5.0.Ets.0003	ELK4
GM.5.0.Ets.0003	ELK3
GM.5.0.Ets.0003	ERG
GM.5.0.Ets.0003	ETV3
GM.5.0.Ets.0003	FEV
GM.5.0.Ets.0003	ETV4
GM.5.0.Ets.0003	ETV2
GM.5.0.Ets.0003	ETS1
GM.5.0.Ets.0003	ENSG00000235187
GM.5.0.Ets.0003	ENSMUSG00000044690
GM.5.0.Ets.0003	ETV1
GM.5.0.Ets.0003	GABPA
GM.5.0.Ets.0003	ERF
GM.5.0.Ets.0003	FLI1
GM.5.0.Ets.0003	ETS2
GM.5.0.Nuclear_receptor.0005	RXRA
GM.5.0.Nuclear_receptor.0005	NR1H5
GM.5.0.Nuclear_receptor.0005	NR1H3
GM.5.0.Nuclear_receptor.0005	NR4A2
GM.5.0.Nuclear_receptor.0005	FXR
GM.5.0.Nuclear_receptor.0005	NR1A4
GM.5.0.Nuclear_receptor.0005	NR1H4
GM.5.0.C2H2_ZF.0005	SCRT1
GM.5.0.C2H2_ZF.0005	SNAI2
GM.5.0.C2H2_ZF.0005	MYF5
GM.5.0.C2H2_ZF.0005	ASCL2
GM.5.0.Nuclear_receptor.0006	NR1D1
GM.5.0.Nuclear_receptor.0006	RORB
GM.5.0.Nuclear_receptor.0006	NR1D2
GM.5.0.Nuclear_receptor.0006	RORC
GM.5.0.Ets.0004	ELF1
GM.5.0.Ets.0004	ELK4
GM.5.0.Ets.0004	GABPA
GM.5.0.Ets.0004	ZBTB7A
GM.5.0.E2F.0001	E2F3
GM.5.0.E2F.0001	E2F5
GM.5.0.E2F.0001	E2F2
GM.5.0.E2F.0001	E2F4
GM.5.0.E2F.0001	E2F1
GM.5.0.Nuclear_receptor.0007	NR2E1
GM.5.0.Runt.0001	ENSG00000250096
GM.5.0.Runt.0001	RUNX
GM.5.0.Runt.0001	RUNX2
GM.5.0.Runt.0001	RUNX3
GM.5.0.Runt.0001	RUNX1
GM.5.0.C2H2_ZF.0006	KLF5
GM.5.0.C2H2_ZF.0006	SP6
GM.5.0.C2H2_ZF.0006	KLF12
GM.5.0.C2H2_ZF.0006	SP7
GM.5.0.C2H2_ZF.0006	TBP
GM.5.0.C2H2_ZF.0006	SP1
GM.5.0.C2H2_ZF.0006	KLF3
GM.5.0.C2H2_ZF.0006	IRF1
GM.5.0.C2H2_ZF.0006	SP8
GM.5.0.C2H2_ZF.0006	KLF6
GM.5.0.C2H2_ZF.0006	SP2
GM.5.0.C2H2_ZF.0006	KLF2
GM.5.0.C2H2_ZF.0006	SP9
GM.5.0.C2H2_ZF.0006	SP3
GM.5.0.C2H2_ZF.0006	PBX3
GM.5.0.C2H2_ZF.0006	THAP1
GM.5.0.C2H2_ZF.0006	KLF4
GM.5.0.C2H2_ZF.0006	KLF7
GM.5.0.C2H2_ZF.0006	SP5
GM.5.0.SAND.0001	GMEB2
GM.5.0.SAND.0001	GMEB1
GM.5.0.T-box.0002	EOMES
GM.5.0.T-box.0002	T
GM.5.0.Homeodomain.0008	DOBOX4
GM.5.0.Homeodomain.0008	SIX1
GM.5.0.Homeodomain.0008	SIX3
GM.5.0.Homeodomain.0008	SIX6
GM.5.0.Homeodomain.0008	SIX2
GM.5.0.GCM.0001	GCM2
GM.5.0.GCM.0001	GCM1
GM.5.0.Homeodomain_POU.0002	BX088580.2
GM.5.0.Homeodomain_POU.0002	POU3F3
GM.5.0.Homeodomain_POU.0002	CR759815.4
GM.5.0.Homeodomain_POU.0002	CR388229.2
GM.5.0.Homeodomain_POU.0002	POU4F2
GM.5.0.Homeodomain_POU.0002	AL773544.1
GM.5.0.Homeodomain_POU.0002	AL662833.4
GM.5.0.Homeodomain_POU.0002	POU3F4
GM.5.0.Homeodomain_POU.0002	POU3F1
GM.5.0.Homeodomain_POU.0002	POU1F1
GM.5.0.Homeodomain_POU.0002	POU4F1
GM.5.0.Homeodomain_POU.0002	POU4F3
GM.5.0.Homeodomain_POU.0002	POU3F2
GM.5.0.bZIP.0005	MAF
GM.5.0.bZIP.0005	BACH2
GM.5.0.bZIP.0005	NFE2
GM.5.0.bZIP.0005	NFE2L2
GM.5.0.bZIP.0005	NRF2
GM.5.0.bZIP.0005	BACH1
GM.5.0.bZIP.0005	MAFK
GM.5.0.Homeodomain.0009	HOXC13
GM.5.0.Homeodomain.0009	HOXD13
GM.5.0.Homeodomain.0009	HOXA13
GM.5.0.Homeodomain.0009	HOXD10
GM.5.0.Homeodomain.0009	HOXB13
GM.5.0.Sox.0004	SOX8
GM.5.0.Sox.0004	SOX13
GM.5.0.Sox.0004	SOX11
GM.5.0.Sox.0004	SOX17
GM.5.0.Sox.0004	SOX5
GM.5.0.Mixed.0003	NFIL3
GM.5.0.Mixed.0003	HNF4G
GM.5.0.Mixed.0003	HLF
GM.5.0.Mixed.0003	HNF4A
GM.5.0.C2H2_ZF.0007	PLAGL1
GM.5.0.C2H2_ZF.0007	GLIS3
GM.5.0.Homeodomain.0010	RHOX8
GM.5.0.Homeodomain.0010	RHOXF1
GM.5.0.Homeodomain.0010	RHOX11
GM.5.0.SAND.0002	IRC900814
GM.5.0.SAND.0002	SP140
GM.5.0.SAND.0002	ARHGEF12
GM.5.0.Homeodomain_POU.0003	POU2F1
GM.5.0.Homeodomain_POU.0003	POU3F2
GM.5.0.Nuclear_receptor.0008	RXRA
GM.5.0.Nuclear_receptor.0008	NR2C2
GM.5.0.Nuclear_receptor.0008	CR759733.4
GM.5.0.Nuclear_receptor.0008	CR354565.3
GM.5.0.Nuclear_receptor.0008	RXRG
GM.5.0.Nuclear_receptor.0008	CR936877.3
GM.5.0.Nuclear_receptor.0008	TR4
GM.5.0.Nuclear_receptor.0008	AL662824.5
GM.5.0.Nuclear_receptor.0008	AL844527.7
GM.5.0.Homeodomain.0011	BARX1
GM.5.0.Homeodomain.0011	HOXA6
GM.5.0.Homeodomain.0011	MEOX1
GM.5.0.Homeodomain.0011	PDX1
GM.5.0.Homeodomain.0011	DLX2
GM.5.0.Homeodomain.0011	BSX
GM.5.0.Homeodomain.0011	HOXA5
GM.5.0.Homeodomain.0011	HOXA2
GM.5.0.Homeodomain.0011	HOXD3
GM.5.0.Homeodomain.0011	GSX2
GM.5.0.Homeodomain.0011	HOXA1
GM.5.0.Homeodomain.0011	HOXB5
GM.5.0.Homeodomain.0011	VAX1
GM.5.0.Homeodomain.0011	HOXC8
GM.5.0.Homeodomain.0011	DLX1
GM.5.0.Homeodomain.0011	HOXB6
GM.5.0.GATA.0003	GATA3
GM.5.0.GATA.0003	HDAC2
GM.5.0.GATA.0003	GATA4
GM.5.0.GATA.0003	GATA2
GM.5.0.GATA.0003	GATA5
GM.5.0.GATA.0003	GATA6
GM.5.0.GATA.0003	GATA1
GM.5.0.Mixed.0004	YY1
GM.5.0.Mixed.0004	BCLAF1
GM.5.0.Rel.0002	NFATC2
GM.5.0.Rel.0002	NFAT
GM.5.0.Rel.0002	NFATC3
GM.5.0.Rel.0002	NFATC4
GM.5.0.Rel.0002	NFATC1
GM.5.0.bHLH.0009	BACH2
GM.5.0.bHLH.0009	USF1
GM.5.0.bHLH.0009	TFEB
GM.5.0.bHLH.0009	NFE2
GM.5.0.bHLH.0009	TFE3
GM.5.0.bHLH.0009	BACH1
GM.5.0.bHLH.0009	ATF3
GM.5.0.bHLH.0009	USF2
GM.5.0.Forkhead.0002	FOXD4L6
GM.5.0.Forkhead.0002	FOXJ2
GM.5.0.Forkhead.0002	FOXD4L3
GM.5.0.Forkhead.0002	FOXF1A
GM.5.0.Forkhead.0002	FOXN3
GM.5.0.Forkhead.0002	FOXD4L1
GM.5.0.Forkhead.0002	FOXI3
GM.5.0.Forkhead.0002	FOXA1
GM.5.0.Forkhead.0002	KIAA0415
GM.5.0.Forkhead.0002	FOXO4
GM.5.0.Forkhead.0002	FOXD4
GM.5.0.Forkhead.0002	FOXG1
GM.5.0.Forkhead.0002	FOXD4L5
GM.5.0.Forkhead.0002	FOXD3
GM.5.0.Forkhead.0002	FOXD2
GM.5.0.Forkhead.0002	FOXJ3
GM.5.0.Forkhead.0002	FOXO6
GM.5.0.Forkhead.0002	FOXK2
GM.5.0.Forkhead.0002	FOXB2
GM.5.0.Forkhead.0002	FOXE3
GM.5.0.Forkhead.0002	FOXP1
GM.5.0.Forkhead.0002	FOXE1
GM.5.0.Forkhead.0002	FOXL1
GM.5.0.Forkhead.0002	ENSMUSG00000090020
GM.5.0.Forkhead.0002	FOXF2
GM.5.0.Forkhead.0002	FOXI2
GM.5.0.Forkhead.0002	FOXJ1
GM.5.0.Forkhead.0002	FOXA3
GM.5.0.Forkhead.0002	FOXL2
GM.5.0.Forkhead.0002	FOXO1
GM.5.0.Forkhead.0002	FOXS1
GM.5.0.Forkhead.0002	FOXN2
GM.5.0.Forkhead.0002	FOXQ1
GM.5.0.Forkhead.0002	FOXK1
GM.5.0.Forkhead.0002	FOXI1
GM.5.0.E2F.0002	E2F3
GM.5.0.E2F.0002	TFDP1
GM.5.0.E2F.0002	E2F7
GM.5.0.E2F.0002	E2F4
GM.5.0.E2F.0002	E2F1
GM.5.0.bZIP.0006	XBP1
GM.5.0.Homeodomain.0012	NKX3-2
GM.5.0.Homeodomain.0012	NKX2-5
GM.5.0.Homeodomain.0012	NKX3-1
GM.5.0.Homeodomain.0012	NKX2-4
GM.5.0.Homeodomain.0012	BAPX1
GM.5.0.Homeodomain.0012	NKX2-6
GM.5.0.Homeodomain.0012	NKX2-3
GM.5.0.Forkhead.0003	FOXF1
GM.5.0.Forkhead.0003	FOXD4L6
GM.5.0.Forkhead.0003	FOXD4L3
GM.5.0.Forkhead.0003	FOXF1A
GM.5.0.Forkhead.0003	FOXD4L1
GM.5.0.Forkhead.0003	FOXI3
GM.5.0.Forkhead.0003	FOXA1
GM.5.0.Forkhead.0003	KIAA0415
GM.5.0.Forkhead.0003	FOXD4
GM.5.0.Forkhead.0003	FOXD4L5
GM.5.0.Forkhead.0003	FOXD3
GM.5.0.Forkhead.0003	FOXD2
GM.5.0.Forkhead.0003	FOXK2
GM.5.0.Forkhead.0003	FOXB2
GM.5.0.Forkhead.0003	FOXE3
GM.5.0.Forkhead.0003	FOXL1
GM.5.0.Forkhead.0003	FOXE1
GM.5.0.Forkhead.0003	FOXF2
GM.5.0.Forkhead.0003	FOXI2
GM.5.0.Forkhead.0003	FOXA3
GM.5.0.Forkhead.0003	FOXL2
GM.5.0.Forkhead.0003	FOXS1
GM.5.0.Forkhead.0003	FOXQ1
GM.5.0.Forkhead.0003	FOXI1
GM.5.0.Homeodomain.0013	BARX1
GM.5.0.Homeodomain.0013	HOXC5
GM.5.0.Homeodomain.0013	ALX3
GM.5.0.Homeodomain.0013	BSX
GM.5.0.Homeodomain.0013	AC012531.1
GM.5.0.Homeodomain.0013	MIXL1
GM.5.0.Homeodomain.0013	VSX2
GM.5.0.Homeodomain.0013	HOXB2
GM.5.0.Homeodomain.0013	NKX6.1
GM.5.0.Homeodomain.0013	HOXB3
GM.5.0.Homeodomain.0013	PDX1
GM.5.0.Homeodomain.0013	PRRX2
GM.5.0.Homeodomain.0013	HOXA2
GM.5.0.Homeodomain.0013	HOXB4
GM.5.0.Homeodomain.0013	LBX1
GM.5.0.Homeodomain.0013	VENTX
GM.5.0.Homeodomain.0013	OTP
GM.5.0.Homeodomain.0013	HOXA6
GM.5.0.Homeodomain.0013	HOXD4
GM.5.0.Homeodomain.0013	PRRXL1
GM.5.0.Homeodomain.0013	HOXD3
GM.5.0.Homeodomain.0013	ALX1
GM.5.0.Homeodomain.0013	HOXB1
GM.5.0.C2H2_ZF.0008	ZIC4
GM.5.0.C2H2_ZF.0008	ZBTB7B
GM.5.0.C2H2_ZF.0009	KLF5
GM.5.0.C2H2_ZF.0009	KLF12
GM.5.0.C2H2_ZF.0009	KLF3
GM.5.0.C2H2_ZF.0009	KLF6
GM.5.0.C2H2_ZF.0009	KLF2
GM.5.0.C2H2_ZF.0009	KLF4
GM.5.0.C2H2_ZF.0009	KLF7
GM.5.0.Mixed.0005	ARID3C
GM.5.0.Mixed.0005	OTX2
GM.5.0.Mixed.0005	OTP
GM.5.0.Mixed.0005	PRRXL1
GM.5.0.Mixed.0005	ARID3B
GM.5.0.bHLH.0010	OLIG2
GM.5.0.bHLH.0010	NEUROG2
GM.5.0.bHLH.0010	NEUROD2
GM.5.0.bHLH.0010	NEUROG1
GM.5.0.bHLH.0010	NEUROD4
GM.5.0.bHLH.0010	MSGN1
GM.5.0.bHLH.0010	NEUROG3
GM.5.0.bHLH.0010	NEUROD6
GM.5.0.bHLH.0010	BHLHE23
GM.5.0.bHLH.0010	NEUROD1
GM.5.0.SMAD.0002	NFIB
GM.5.0.SMAD.0002	NFIA
GM.5.0.SMAD.0002	NFIX
GM.5.0.SMAD.0002	NFYA
GM.5.0.SMAD.0002	NFIC
GM.5.0.Runt.0002	ENSG00000250096
GM.5.0.Runt.0002	RUNX2
GM.5.0.Runt.0002	RUNX3
GM.5.0.Forkhead.0004	FOXO1
GM.5.0.Forkhead.0004	FOXO6
GM.5.0.Forkhead.0004	FOXO3
GM.5.0.Forkhead.0004	FOXO4
GM.5.0.Nuclear_receptor.0009	NR1D1
GM.5.0.Nuclear_receptor.0009	NR1D2
GM.5.0.Nuclear_receptor.0009	RORC
GM.5.0.Ets.0005	ETS1
GM.5.0.bHLH.0011	MLX
GM.5.0.Mixed.0006	RXRA
GM.5.0.Mixed.0006	TCF12
GM.5.0.C2H2_ZF.0010	SCRT2
GM.5.0.C2H2_ZF.0010	SCRT1
GM.5.0.bZIP.0007	CREB
GM.5.0.bZIP.0007	CREB1
GM.5.0.bZIP.0007	ATF1
GM.5.0.bZIP.0008	BACH1
GM.5.0.bZIP.0008	NFE2
GM.5.0.bZIP.0008	BACH2
GM.5.0.C2H2_ZF.0011	ZNF274
GM.5.0.C2H2_ZF.0011	ZFP369
GM.5.0.C2H2_ZF.0011	ZFP110
