gene10841	Xetrov90000001m.g
gene6585	lyar
gene3633	zbtb49
gene3598	nsg1
gene4738	stx18
gene27729	LOC101734699
gene6307	msx1
gene17208	LOC108648036
gene22039	cytl1
gene27033	stk32b
gene23197	evc2
gene110	evc
gene741	crmp1
gene20974	jakmip1
gene2265	wfs1
gene29830	ppp2r2c
gene3381	man2b2
gene23877	LOC105946474
gene31436	ablim2
gene24079	afap1
gene28122	sorcs2
gene8047	grpel1
gene30248	tada2b
gene5258	ccdc96
gene21996	tbc1d14
gene7137	kiaa0232
gene32214	LOC100489920
gene19808	s100p
gene7011	LOC100489121
gene25004	sh3tc1
gene29981	htra3
gene9224	Xetrov90000521m.g
gene33201	acox3
gene3730	trmt44
gene23446	LOC105946261
gene19313	LOC105946260
gene31697	LOC108645701
gene27861	LOC100486697
gene21164	sepsecs
gene5445	lgi2
gene31519	ccdc149
gene3771	sod3
gene5981	dhx15
gene18437	ppargc1a
gene4298	gba3
gene5846	gpr125
gene28971	kcnip4
gene3424	pacrgl
gene18466	slit2
gene32817	mir218-1
gene24631	lcorl
gene5901	ncapg
gene32749	LOC100488800
gene28524	LOC108648037
gene25252	LOC100488482
gene33881	LOC100488322
gene17042	LOC105946259
gene21465	LOC100497820
gene23804	LOC105946358
gene27871	LOC100493020
gene27789	LOC108645670
gene31918	LOC100492857
gene15079	Xetrov90000549m.g
gene25027	LOC108644488
gene28985	LOC108644503
gene25750	LOC101731905
gene29702	LOC101730384
gene11460	Xetrov90000553m.g
gene15091	Xetrov90000554m.g
gene23039	LOC108648038
gene7730	LOC100493503
gene33233	LOC108648039
gene18663	nwd2
gene27953	dthd1
gene8673	Xetrov90000559m.g
gene32046	arap2
gene7228	pcdh7
gene11022	Xetrov90000562m.g
gene15618	Xetrov90000563m.g
gene9420	Xetrov90000565m.g
gene13796	Xetrov90000565m.g
gene24108	tbc1d1
gene4071	pgm2
gene7728	rell1
gene14218	Xetrov90000569m.g
gene23354	LOC105945533
gene27475	klf3
gene2932	LOC101733197
gene5743	tmem128
gene27886	LOC108645702
gene23808	tlr1
gene16070	tlr6
gene30655	LOC100495326
gene1614	fam114a1
gene22484	LOC105945522
gene5472	klhl5
gene14065	Xetrov90000580m.g
gene27566	LOC101730356
gene15578	Xetrov90000581m.g
gene23769	wdr19
gene9560	Xetrov90000582m.g
gene333	rfc1
gene15570	Xetrov90000584m.g
gene24627	LOC101731520
gene2894	LOC101730521
gene32758	LOC108648040
gene9436	Xetrov90000586m.g
gene18222	LOC101730260
gene21179	lias
gene25470	LOC105946332
gene29518	LOC101730315
gene33371	LOC101735228
gene10521	Xetrov90000588m.g
gene7687	LOC100490984
gene23219	klb
gene32821	rpl9
gene18575	lias
gene23605	ugdh
gene27745	smim14
gene25242	ube2k
gene15052	Xetrov90000596m.g
gene6177	pds5a
gene15182	Xetrov90000601m.g
gene19360	n4bp2
gene21474	LOC105945501
gene27933	rhoh
gene9175	Xetrov90000604m.g
gene34001	chrna9
gene14663	Xetrov90000606m.g
gene1879	rbm47
gene8627	Xetrov90000608m.g
gene15222	nsun7
gene19595	apbb2
gene193	uchl1
gene32405	limch1
gene11973	Xetrov90000615m.g
gene28482	phox2b
gene7828	LOC105946256
gene2351	tmem33
gene2667	slc30a9
gene2398	bend4
gene26163	LOC100492989
gene32141	shisa3
gene26585	atp8a1
gene23368	LOC108648041
gene3856	grxcr1
gene33756	kctd8
gene28622	yipf7
gene8165	gnpda2
gene176	guf1
gene11283	Xetrov90000630m.g
gene9791	Xetrov90000631m.g
gene12506	Xetrov90000632m.g
gene11604	Xetrov90000633m.g
gene18588	gabra2
gene9147	Xetrov90000635m.g
gene31782	gabrb1
gene14833	Xetrov90000637m.g
gene13862	Xetrov90000638m.g
gene8318	commd8
gene17628	atp10d
gene30263	corin
gene25573	nfxl1
gene29655	cnga1
gene24388	nipal1
gene17735	tec
gene30918	slain2
gene25668	slc10a4
gene1422	zar1
gene15765	fryl
gene6596	ociad1
gene8175	ociad2
gene23686	lrrc66
gene18380	sgcb
gene26745	LOC100486035
gene22130	LOC100487199
gene9301	Xetrov90000659m.g
gene16661	LOC105946255
gene4507	rasl11b
gene12378	scfd2
gene28713	scfd2
gene8401	fip1l1
gene26121	lnx1
gene9251	Xetrov90000665m.g
gene4996	chic2
gene4550	gsx2
gene565	pdgfra
gene13472	Xetrov90000669m.g
gene8861	Xetrov90000670m.g
gene27966	LOC101730516
gene5119	kit
gene17997	kdr
gene4126	srd5a3
gene25960	tmem165
gene18102	clock
gene31954	nmu
gene29263	LOC100487667
gene21381	LOC100486416
gene16042	exoc1
gene801	cep135
gene33383	kiaa1211
gene17880	aasdh
gene10520	paics.2
gene20861	paics.2
gene931	paics.1
gene6564	ppat
gene5712	lonrf1
gene18966	kiaa1456
gene32770	dlc1
gene27424	LOC101730958
gene20749	sgcz
gene11876	sgcz
gene19423	mir383
gene30500	tusc3
gene25418	msr1
gene22631	fgf20
gene26683	micu3
gene33875	zdhhc2
gene1925	cnot7
gene16409	vps37a
gene28721	mtmr7
gene21466	slc7a2.1
gene2103	pdgfrl
gene2221	mtus1
gene1972	fgl1
gene23578	LOC100497825
gene4511	pcm1
gene3176	gtf2e1.2
gene751	asah1
gene695	frg1
gene10516	Xetrov90000717m.g
gene20308	fat1
gene14871	Xetrov90000718m.g
gene11695	mtnr1a
gene32265	klkb1
gene3356	cyp4v2-like.1
gene21743	LOC108648100
gene274	cyp4v2-like.2
gene13818	Xetrov90000726m.g
gene29792	fam149a
gene17832	tlr3
gene12847	Xetrov90000729m.g
gene7339	sorbs2
gene3147	pdlim3
gene6383	c4orf47
gene4613	ufsp2
gene23965	ankrd37
gene2960	lrp2bp
gene32110	snx25
gene4882	cfap97
gene4481	slc25a4
gene156	LOC100487093
gene30730	helt
gene5362	acsl1
gene23873	cenpu
gene1778	LOC100486222
gene31576	primpol
gene4764	casp3
gene5998	irf2
gene1436	enpp6
gene33530	stox2
gene30108	trappc11
gene1322	rwdd4
gene21988	LOC105945152
gene17882	LOC101730828
gene7848	ing2
gene4478	cdkn2aip
gene8446	cldn22
gene17734	LOC100486784
gene32095	wwc2
gene3245	dctd
gene20188	LOC105946470
gene14062	Xetrov90000766m.g
gene24259	tenm3
gene15196	tenm2-like.1
gene25893	aga
gene29882	neil3
gene8808	neil3
gene17635	vegfc
gene14913	Xetrov90000771m.g
gene4789	spcs3
gene33513	asb5
gene16827	spata4
gene20874	wdr17
gene25085	gpm6a
gene18957	glra3
gene27080	hpgd
gene5116	cep44
gene16835	fbxo8
gene7568	hand2
gene29628	LOC101731812
gene13202	Xetrov90000783m.g
gene33274	scrg1
gene18742	sap30
gene27190	LOC101731713
gene31596	hmgb2
gene31062	galnt7
gene26989	LOC101731619
gene23242	galntl6
gene11449	Xetrov90000790m.g
gene12191	Xetrov90000791m.g
gene11195	Xetrov90000792m.g
gene19092	LOC105946249
gene33667	LOC108645671
gene29629	LOC105946250
gene16536	LOC105946248
gene895	LOC101731392
gene26830	aadat
gene2231	mfap3l
gene28177	LOC105946247
gene3820	c4orf27
gene17877	clcn3
gene29855	nek1
gene4984	sh3rf1
gene10453	Xetrov90000811m.g
gene8182	cbr4
gene33727	palld
gene8923	Xetrov90000814m.g
gene27481	LOC100489731
gene21709	ddx60
gene6481	LOC100488610
gene3882	anxa10
gene33587	spock3
gene12656	tll1-like.1
gene33572	tll1
gene20447	cpe
gene2043	msmo1
gene30958	klhl2
gene32559	tmem192
gene4600	apela
gene24596	LOC100494224
gene29469	march1
gene4309	tma16
gene4482	npy5r
gene19159	npy1r
gene8348	naf1
gene10665	Xetrov90000837m.g
gene33624	fstl5
gene25939	rapgef2
gene2905	c4orf45
gene2146	fnip2
gene17201	LOC105946468
gene328	ppid
gene23374	etfdh
gene4785	c4orf46
gene17691	rxfp1
gene11037	Xetrov90000855m.g
gene1711	tmem144
gene25970	fam198b
gene31053	gria2
gene1232	glrb
gene23992	pdgfc
gene27327	asic5
gene7610	tdo2
gene5637	gucy1b3
gene28103	gucy1a3
gene20893	map9
gene9133	Xetrov90000870m.g
gene8151	npy2r-like.1
gene32169	LOC108645704
gene21874	rbm46
gene24022	LOC101734429
gene18858	LOC108648178
gene7456	LOC108648176
gene2653	lrat
gene20410	LOC100485159
gene3849	fgg
gene7632	fga
gene29452	LOC101730283
gene3874	fgb
gene957	plrg1
gene27869	dchs2
gene1861	sfrp2
gene16443	tlr2
gene31030	LOC100485927
gene34059	LOC105946245
gene26983	kiaa0922
gene33081	mnd1
gene930	trim2
gene20830	LOC105946244
gene29436	fhdc1
gene9544	Xetrov90000895m.g
gene17346	arfip1
gene20513	tmem154
gene4551	ercc8
gene30801	fbxw7
gene10122	Xetrov90000901m.g
gene10734	Xetrov90000903m.g
gene16511	LOC105946467
gene6479	LOC100486522
gene26755	gatb
gene30864	fam160a1
gene8982	Xetrov90000909m.g
gene30881	LOC108648193
gene6509	LOC108648195
gene23079	LOC101735014
gene29501	LOC105946241
gene1466	LOC100488648
gene15308	Xetrov90000912m.g
gene16490	LOC108648197
gene31575	sh3d19
gene12659	Xetrov90000913m.g
gene16051	rps3a
gene4242	lrba
gene7523	LOC108648203
gene1563	LOC105946240
gene710	mab21l2
gene20073	dclk2
gene24289	nr3c2
gene5790	arhgap10
gene29912	prmt9
gene4494	tmem184c
gene8579	Xetrov90000927m.g
gene22410	ednra
gene26469	LOC105946466
gene5262	ttc29
gene13628	Xetrov90000931m.g
gene342	pou4f2
gene23312	slc10a7
gene28562	LOC101732286
gene32628	LOC100485235
gene18259	LOC101734830
gene1413	lsm6
gene22889	znf827
gene2001	LOC100498590
gene33302	mmaa
gene17118	smad1
gene13248	Xetrov90000944m.g
gene15700	Xetrov90000945m.g
gene6741	hhip
gene13623	Xetrov90000948m.g
gene9043	Xetrov90000949m.g
gene2104	anapc10
gene31348	abce1
gene32508	LOC101734762
gene2598	otud4-like.1
gene24283	frem3
gene1017	smarca5
gene33276	gab1
gene29371	usp38
gene22694	inpp4b
gene8985	inpp4b-like.2
gene18666	LOC100496251
gene14793	Xetrov90000965m.g
gene14959	Xetrov90000965m.g
gene3698	il15
gene7016	znf330
gene7008	rnf150
gene15192	Xetrov90000971m.g
gene5673	tbc1d9
gene7889	ucp1
gene2530	elmod2
gene20116	LOC101731677
gene33918	mgat4a
gene25887	clgn
gene20529	scoc
gene17610	maml3
gene30797	mgst2
gene3006	LOC100127860
gene4981	setd7
gene11834	Xetrov90000985m.g
gene2041	LOC733556
gene8154	rab33b
gene23910	LOC100145011
gene5971	naa15
gene12067	ndufc1
gene676	ccrn4l
gene29123	elf2
gene17814	LOC101734589
gene31321	mgarp
gene32809	slc7a11
gene27606	LOC101734522
gene13106	Xetrov90001000m.g
gene10450	Xetrov90001002m.g
gene4893	pcdh18
gene10127	Xetrov90001004m.g
gene18266	pcdh10
gene12625	pcdh10
gene33444	LOC108648244
gene28685	LOC101730253
gene21262	LOC100497520
gene16276	LOC105946349
gene31511	LOC108645672
gene26527	LOC100135109
gene5608	c4orf33
gene31370	sclt1
gene268	jade1
gene262	pgrmc2
gene16453	larp1b
gene30741	abhd18
gene26528	mfsd8
gene22597	plk4
gene18260	LOC100498290
gene32787	intu
gene9556	Xetrov90001022m.g
gene8978	Xetrov90001022m.g
gene28535	LOC100498452
gene10483	Xetrov90001024m.g
gene24556	fat4
gene21587	LOC108648245
gene33213	ankrd50
gene13332	Xetrov90001028m.g
gene5621	spry1
gene20667	spata5
gene14831	Xetrov90001030m.g
gene3610	nudt6
gene28594	fgf2
gene2030	bbs12
gene5094	cetn4
gene27934	il21
gene4431	il-2
gene6217	adad1
gene22113	LOC101733939
gene14944	Xetrov90001041m.g
gene17874	LOC108648250
gene12821	Xetrov90001042m.g
gene14417	Xetrov90001043m.g
gene31609	LOC105946228
gene2107	adad1-like.1
gene11850	Xetrov90001044m.g
gene18755	LOC108648248
gene33286	LOC108645673
gene29624	LOC101734304
gene9324	adad1-like.2
gene406	LOC105946226
gene14850	Xetrov90001049m.g
gene10467	Xetrov90001050m.g
gene14995	Xetrov90001051m.g
gene16747	LOC108648249
gene6221	LOC100493858
gene19949	LOC105946227
gene24161	LOC108648247
gene15346	LOC101734559
gene30631	LOC108648246
gene12875	Xetrov90001056m.g
gene14795	kiaa1109
gene8968	kiaa1109
gene13339	kiaa1109
gene16099	kiaa1109
gene20711	trpc3
gene7958	bbs7
gene3068	ccna2
gene3937	exosc9
gene3015	anxa5
gene29373	cyp2u1
gene5320	hadh
gene29516	lef1
gene10072	Xetrov90001068m.g
gene20522	LOC105946347
gene13917	Xetrov90001070m.g
gene11017	Xetrov90001072m.g
gene6955	ostc
gene30822	LOC101733888
gene1342	etnppl
gene20508	col25a1.2
gene7213	rpl34
gene19519	sec24b
gene945	ccdc109b
gene17216	trnav-uac
gene25518	pyurf
gene28466	pigy
gene31499	trnav-uac
gene19292	trnav-uac
gene21215	trnav-uac
gene6310	c4orf32
gene11314	Xetrov90001083m.g
gene33354	LOC105946224
gene5249	pitx2
gene17397	enpep
gene5080	elovl6
gene16495	egf
gene5531	lrit3
gene3792	rrh
gene6284	gar1
gene1489	cfi
gene6726	pla2g12a
gene2219	casp6
gene2740	ap1ar
gene20404	tifa
gene20228	alpk1
gene4227	neurog2
gene15710	Xetrov90001099m.g
gene15398	LOC100327248
gene28271	zgrf1
gene24375	larp7
gene17719	LOC108648251
gene32317	mir367
gene25885	mir302
gene21630	LOC100493381
gene8888	Xetrov90001104m.g
gene13284	Xetrov90001105m.g
gene24601	ank2
gene12789	Xetrov90001110m.g
gene14116	ank2
gene20210	camk2d
gene30637	arsj
gene8824	Xetrov90001117m.g
gene17431	ugt8
gene25541	LOC100493539
gene30724	ndst4
gene13832	Xetrov90001121m.g
gene19287	LOC101732889
gene24566	ndst3
gene4826	LOC101732926
gene16905	prss12
gene943	ctu1
gene2054	mettl14
gene5514	sec24d-like.1
gene10959	Xetrov90001128m.g
gene27013	synpo2
gene8506	myoz2
gene16399	usp53
gene4113	LOC105946225
gene8525	fabp2
gene23153	pde5a
gene19010	LOC101733770
gene2222	mad2l1
gene20736	prdm5
gene4956	ndnf
gene317	tnip3
gene7245	qrfpr
gene13567	Xetrov90001142m.g
gene4394	sgms2
gene2279	papss1
gene29131	dkk2
gene34133	LOC100493511
gene18814	gimd1
